"","word","n"
"1","america trad",152
"2","jew girls",27
"3","soviet union",25
"4","professional spaniard",24
"5","social media",24
"6","penis snatcher",20
"7","red barron",20
"8","theobald von",20
"9","jesus christ",18
"10","pink eye",17
"11","south korea",17
"12","makes sense",16
"13","white lung",16
"14","civil war",15
"15","free speech",15
"16","libraries ukraine",15
"17","solar panels",15
"18","feel bad",14
"19","mentally ill",14
"20","operating system",14
"21","pic related",14
"22","south africa",14
"23","war criminal",14
"24","wear gloves",14
"25","electric cars",13
"26","flat earth",13
"27","lactose intolerant",13
"28","south america",12
"29","white women",12
"30","air track",11
"31","middle east",11
"32","pro israel",11
"33","rolling stone",11
"34","war crimes",11
"35","jew women",10
"36","lung syndrome",10
"37","months ago",10
"38","president trump",10
"39","red pill",10
"40","band aids",9
"41","foreign policy",9
"42","real world",9
"43","remote locations",9
"44","sex drive",9
"45","social status",9
"46","weeks ago",9
"47","based leaf",8
"48","cars cool",8
"49","evil jew",8
"50","fried rice",8
"51","gun laws",8
"52","hate jew",8
"53","jew cock",8
"54","mortgage rates",8
"55","pulse jet",8
"56","real life",8
"57","single day",8
"58","ancient times",7
"59","billion billion",7
"60","billion dollars",7
"61","buck broken",7
"62","burger king",7
"63","dead jew",7
"64","egg fried",7
"65","god bless",7
"66","jew shill",7
"67","jew world",7
"68","korean women",7
"69","left eye",7
"70","left wing",7
"71","mental health",7
"72","mental ovaries",7
"73","middle class",7
"74","multiple times",7
"75","reading comprehension",7
"76","skin color",7
"77","suicide watch",7
"78","supreme court",7
"79","treasury securities",7
"80","ukraine war",7
"81","vast majority",7
"82","white nationalist",7
"83","white race",7
"84","zion don",7
"85","alleviate traffic",6
"86","american jew",6
"87","anti white",6
"88","bike path",6
"89","build tunnels",6
"90","city council",6
"91","command line",6
"92","common sense",6
"93","controlled opposition",6
"94","fight russia",6
"95","happy birthday",6
"96","holy fuck",6
"97","jew died",6
"98","jew males",6
"99","lactose intolerance",6
"100","love cock",6
"101","love jew",6
"102","real bad",6
"103","recent trend",6
"104","russian forces",6
"105","short term",6
"106","single person",6
"107","solar bikeways",6
"108","stop posting",6
"109","stop talking",6
"110","support israel",6
"111","traffic congestion",6
"112","treasury market",6
"113","ukraine happening",6
"114","ukrainian soldiers",6
"115","ukrainian women",6
"116","upper middle",6
"117","vietnam war",6
"118","western countries",6
"119","white countries",6
"120","white friends",6
"121","white male",6
"122","wing extremism",6
"123","air force",5
"124","armed forces",5
"125","artillery shells",5
"126","bad guy",5
"127","biological weapons",5
"128","black guy",5
"129","black sea",5
"130","brain dead",5
"131","cannon fodder",5
"132","central banks",5
"133","chinese sauce",5
"134","christmas tree",5
"135","cloud computing",5
"136","court bans",5
"137","daily dose",5
"138","daily reminder",5
"139","dumb nigger",5
"140","entire family",5
"141","entire life",5
"142","european colonial",5
"143","european countries",5
"144","fans whores",5
"145","female fighters",5
"146","front lines",5
"147","gas chambers",5
"148","god damn",5
"149","gonna die",5
"150","hard line",5
"151","hungarian language",5
"152","irish children",5
"153","israel war",5
"154","jew hate",5
"155","jew mafia",5
"156","jew media",5
"157","jew question",5
"158","likes jew",5
"159","literal jew",5
"160","literally destroy",5
"161","mobilizing women",5
"162","morning sir",5
"163","mystery meat",5
"164","pocket knife",5
"165","pope francis",5
"166","pretty based",5
"167","pretty cool",5
"168","pretty funny",5
"169","prime minister",5
"170","real reason",5
"171","real war",5
"172","red shoes",5
"173","require constant",5
"174","retard brain",5
"175","ruling party",5
"176","russian soldiers",5
"177","sauce brand",5
"178","screen shot",5
"179","seething jew",5
"180","social circle",5
"181","sore throat",5
"182","speak english",5
"183","spiritual connection",5
"184","sports cars",5
"185","support russia",5
"186","tesla status",5
"187","trump loves",5
"188","united nations",5
"189","white nationalists",5
"190","women feel",5
"191","world government",5
"192","alleged human",4
"193","almond milk",4
"194","anti european",4
"195","anti israel",4
"196","anti nick",4
"197","anti semitic",4
"198","army pushes",4
"199","average ukrainian",4
"200","bike lanes",4
"201","blah blah",4
"202","bombing campaign",4
"203","bot threads",4
"204","brain damage",4
"205","buy buy",4
"206","catholic church",4
"207","caucus event",4
"208","celebrity chef",4
"209","central bank",4
"210","child porn",4
"211","civil rights",4
"212","coconut oil",4
"213","cold war",4
"214","colonial rule",4
"215","combat missions",4
"216","comfy happening",4
"217","committing war",4
"218","communist countries",4
"219","communist party",4
"220","council meeting",4
"221","councillors hard",4
"222","current system",4
"223","damage control",4
"224","days ago",4
"225","dead russians",4
"226","decades ago",4
"227","deport deport",4
"228","donald trump",4
"229","double click",4
"230","drug addicts",4
"231","dual boot",4
"232","dumb cunt",4
"233","eastern ukrainian",4
"234","electrical engineering",4
"235","empty words",4
"236","entire lives",4
"237","entire system",4
"238","ethnic cleansing",4
"239","extremely stupid",4
"240","false prophet",4
"241","feel free",4
"242","fellow human",4
"243","fertile women",4
"244","flowers march",4
"245","fort dodge",4
"246","front line",4
"247","fuck jew",4
"248","gas station",4
"249","gay niggers",4
"250","gay sex",4
"251","government bonds",4
"252","gun safe",4
"253","hand smoke",4
"254","hands typed",4
"255","head councillors",4
"256","health crisis",4
"257","heterosexual kraut",4
"258","human rights",4
"259","human women",4
"260","including trump",4
"261","india relations",4
"262","indian smell",4
"263","inevitable win",4
"264","instantly worse",4
"265","israel intelligence",4
"266","israel jew",4
"267","jet system",4
"268","jew ass",4
"269","jew controlled",4
"270","jew faggot",4
"271","jew fuck",4
"272","jew male",4
