"","word","n"
"1","zen king",70
"2","jew rat",54
"3","rat jew",46
"4","king haver",35
"5","sex breeder",35
"6","teenagers defiler",35
"7","confederate meteorologist",34
"8","unemployed adult",33
"9","flat earth",27
"10","social media",24
"11","federal reserve",23
"12","jesus christ",21
"13","money supply",19
"14","negroid dev",18
"15","project negroid",18
"16","bill gates",17
"17","experimental drugs",16
"18","haven sheikh",16
"19","real estate",16
"20","black cube",15
"21","jew influence",15
"22","pic related",15
"23","dev gab",14
"24","free speech",14
"25","makes sense",14
"26","water filters",14
"27","survival rate",13
"28","blah blah",12
"29","civil war",12
"30","court system",12
"31","government increases",12
"32","sniffing pussy",12
"33","water filter",12
"34","western values",12
"35","white race",12
"36","white slaves",12
"37","world war",12
"38","blue eyes",11
"39","comply comply",11
"40","conspiracy theory",11
"41","lives matter",11
"42","mentally ill",11
"43","reverse osmosis",11
"44","white supremacy",11
"45","actual proof",10
"46","apply basic",10
"47","basic math",10
"48","controlled opposition",10
"49","eyes wide",10
"50","hate niggers",10
"51","jew shill",10
"52","retard nigger",10
"53","term studies",10
"54","ultra modern",10
"55","white women",10
"56","acre camp",9
"57","black women",9
"58","body leaves",9
"59","buy groceries",9
"60","central park",9
"61","climate change",9
"62","front world",9
"63","holocaust jew",9
"64","human rights",9
"65","jew regime",9
"66","leave ash",9
"67","magically running",9
"68","middle class",9
"69","million claim",9
"70","president trump",9
"71","shoe box",9
"72","tiny corner",9
"73","viscid monsters",9
"74","wide shut",9
"75","anti christ",8
"76","arrest warrant",8
"77","bare minimum",8
"78","black lives",8
"79","central banks",8
"80","climate hoax",8
"81","clown world",8
"82","daily reminder",8
"83","dumb fuck",8
"84","feel bad",8
"85","front lines",8
"86","god damn",8
"87","hate speech",8
"88","hoax revealed",8
"89","mass shooting",8
"90","months ago",8
"91","scientist admits",8
"92","short term",8
"93","sniff pussy",8
"94","spike protein",8
"95","term study",8
"96","video game",8
"97","watching porn",8
"98","weeks ago",8
"99","western countries",8
"100","white person",8
"101","anti semite",7
"102","artificial validation",7
"103","crime rate",7
"104","cube intelligence",7
"105","east coast",7
"106","engineers lawyers",7
"107","god bless",7
"108","host societies",7
"109","housing prices",7
"110","immune system",7
"111","medical establishment",7
"112","middle east",7
"113","modern day",7
"114","multiple times",7
"115","pharmaceutical companies",7
"116","real life",7
"117","reproduction strategies",7
"118","require total",7
"119","stop talking",7
"120","stop watching",7
"121","vast majority",7
"122","video games",7
"123","wait till",7
"124","white male",7
"125","anti semitic",6
"126","anti weed",6
"127","anti white",6
"128","average person",6
"129","bad guy",6
"130","book clubs",6
"131","boomer hate",6
"132","boomers fuck",6
"133","counterbalancing mechanism",6
"134","david cole",6
"135","david hogg",6
"136","debt money",6
"137","defensive line",6
"138","defensive lines",6
"139","disturbing reality",6
"140","dumb dumb",6
"141","dumb portrayal",6
"142","eastern european",6
"143","european countries",6
"144","federal government",6
"145","gene therapy",6
"146","gold standard",6
"147","golden age",6
"148","green eyes",6
"149","hate women",6
"150","heart attack",6
"151","hell hole",6
"152","hidden truth",6
"153","holy fuck",6
"154","housing market",6
"155","irish italian",6
"156","jazz hands",6
"157","jew handlers",6
"158","kills viruses",6
"159","left wing",6
"160","medical pharmaceutical",6
"161","mental illness",6
"162","minimum wage",6
"163","native americans",6
"164","natural body",6
"165","percent refraining",6
"166","pharmaceutical complex",6
"167","public school",6
"168","red pill",6
"169","sand niggers",6
"170","social issues",6
"171","social security",6
"172","south africa",6
"173","south korea",6
"174","student debt",6
"175","surprising hidden",6
"176","term bonds",6
"177","thin air",6
"178","thomas jefferson",6
"179","wall street",6
"180","white hats",6
"181","women laugh",6
"182","bad idea",5
"183","black kids",5
"184","brown eyes",5
"185","care anymore",5
"186","central banking",5
"187","christ army",5
"188","civil rights",5
"189","coercion essentially",5
"190","colloidal silver",5
"191","common sense",5
"192","conspiracy theories",5
"193","credit card",5
"194","defamation league",5
"195","die jew",5
"196","divorce rates",5
"197","donald trump",5
"198","drinking water",5
"199","drug addicts",5
"200","dumb nigger",5
"201","elite jew",5
"202","entire life",5
"203","entire lives",5
"204","entire world",5
"205","executive branch",5
"206","false flag",5
"207","federal funding",5
"208","fiat currencies",5
"209","fuck boomers",5
"210","gender roles",5
"211","gonna miss",5
"212","government taxation",5
"213","half jew",5
"214","hate white",5
"215","human embryo",5
"216","human history",5
"217","imagine thinking",5
"218","jew control",5
"219","korean war",5
"220","love jew",5
"221","main goal",5
"222","mass die",5
"223","military operation",5
"224","military service",5
"225","mind controlled",5
"226","modern world",5
"227","money laundering",5
"228","nigger lover",5
"229","normal human",5
"230","north america",5
"231","norway sweden",5
"232","passive aggressive",5
"233","peer reviewed",5
"234","political party",5
"235","power level",5
"236","pretty funny",5
"237","public transportation",5
"238","red pills",5
"239","russian military",5
"240","russian propaganda",5
"241","school system",5
"242","sleeping pills",5
"243","smoke weed",5
"244","soviet union",5
"245","spanish white",5
"246","stupid fuck",5
"247","taxation coercion",5
"248","term effects",5
"249","tom cruise",5
"250","trans population",5
"251","western world",5
"252","white chad",5
"253","administrative law",4
"254","admits altering",4
"255","african refugee",4
"256","ages ago",4
"257","air force",4
"258","american jew",4
"259","anne frank",4
"260","anti defamation",4
"261","anti french",4
"262","arrest warrants",4
"263","attention span",4
"264","banks collapse",4
"265","based jew",4
"266","based women",4
"267","biggest fan",4
"268","blood debt",4
"269","body dementia",4
"270","bombed tripoli",4
"271","brown hairy",4
"272","bud light",4
"273","building houses",4
"274","bulk discount",4
"275","bullshit interpretation",4
"276","calling family",4
"277","cartoon dogs",4
"278","child trafficking",4
"279","china china",4
"280","commercial banks",4
"281","conspiracy theorist",4
"282","coping mechanism",4
"283","cotton cunt",4
"284","debunked pause",4
"285","decades ago",4
"286","deep convection",4
"287","defense budget",4
"288","demand deposits",4
"289","depleted uranium",4
"290","die faggot",4
"291","dig deep",4
"292","draft evasion",4
"293","drug addiction",4
"294","dumb ass",4
"295","eat food",4
"296","echo chamber",4
"297","effect prices",4
"298","enslave white",4
"299","entry level",4
"300","exchange students",4
"301","experimental treatments",4
"302","fake money",4
"303","fake virus",4
"304","family services",4
"305","fast food",4
"306","fat mike",4
"307","fat women",4
"308","fever dream",4
"309","filtration system",4
"310","force projection",4
"311","forgot pic",4
"312","front door",4
"313","gold silver",4
"314","green eyed",4
"315","greener pastures",4
"316","grocery store",4
"317","hairy ugly",4
"318","half dozen",4
"319","hate hate",4
"320","hate jew",4
"321","hate russia",4
"322","head rabbi",4
"323","hiking rates",4
"324","hilariously stupid",4
"325","holy spirit",4
"326","imported hundreds",4
"327","infamously imported",4
"328","infinite growth",4
"329","infinite money",4
"330","influential institution",4
"331","insurance company",4
"332","invade ukraine",4
"333","islamic justice",4
"334","islamic rule",4
"335","jack smith",4
"336","james bond",4
"337","jefferson bombed",4
"338","jew civil",4
"339","jew community",4
"340","jew women",4
"341","joe jonas",4
"342","kangaroo meat",4
"343","keith woods",4
"344","letter agencies",4
"345","light eyes",4
"346","living organism",4
"347","local police",4
"348","low crime",4
"349","mass deaths",4
"350","mass immigration",4
"351","mike enoch",4
"352","modern women",4
"353","molest children",4
"354","money flow",4
"355","mountain dew",4
"356","net negative",4
"357","nigger skin",4
"358","osmosis filter",4
"359","pay attention",4
"360","pay taxes",4
"361","pepper spray",4
"362","pinhole eye",4
"363","popular streamer",4
"364","pre war",4
"365","previous infection",4
"366","prime minister",4
"367","pro free",4
"368","propagandists desperately",4
"369","prosecution deal",4
"370","protection request",4
