"","word","n"
"1","hours click",191
"2","janitor applications",191
"3","minimum wage",144
"4","haven sheikh",48
"5","bin laden",47
"6","climate change",44
"7","structural steel",34
"8","twin towers",24
"9","free speech",23
"10","molten steel",23
"11","world trade",21
"12","middle east",20
"13","sir james",20
"14","stop replying",20
"15","aluminum alloys",19
"16","happening tomorrow",19
"17","jet fuel",19
"18","pic related",19
"19","aluminum alloy",18
"20","human mutilation",18
"21","middle class",18
"22","trade center",17
"23","bronze age",16
"24","highly trained",16
"25","thermal expansion",16
"26","pop pop",15
"27","social media",15
"28","south tower",15
"29","steel beams",15
"30","box cutters",14
"31","civil war",14
"32","controlled demolition",14
"33","min wage",14
"34","plane hit",14
"35","real life",14
"36","reformed stoic",14
"37","king charles",13
"38","left wing",12
"39","living paycheck",12
"40","north korea",12
"41","north tower",12
"42","prime minister",12
"43","real estate",12
"44","special forces",12
"45","vast majority",12
"46","world war",12
"47","building fires",11
"48","clown world",11
"49","coin shops",11
"50","federal reserve",11
"51","king nigger",11
"52","lucky larry",11
"53","south africa",11
"54","aircraft aluminum",10
"55","alloys mix",10
"56","holy fuck",10
"57","hot iron",10
"58","iron burns",10
"59","lactose intolerant",10
"60","makes sense",10
"61","mass immigration",10
"62","mentally ill",10
"63","military assassin",10
"64","north america",10
"65","president trump",10
"66","red hot",10
"67","serial killers",10
"68","support russia",10
"69","trained military",10
"70","white countries",10
"71","white house",10
"72","aircraft debris",9
"73","aircraft impacts",9
"74","alloy caused",9
"75","armed forces",9
"76","avalanche type",9
"77","burn produce",9
"78","burnable metal",9
"79","burning aircraft",9
"80","burning office",9
"81","burning organic",9
"82","burning piles",9
"83","caused thermal",9
"84","collapse initiated",9
"85","collapse initiation",9
"86","column descent",9
"87","created red",9
"88","debris fire",9
"89","debris piled",9
"90","driven avalanche",9
"91","exit nodes",9
"92","false flag",9
"93","fire natural",9
"94","global collapse",9
"95","gravity driven",9
"96","hate niggers",9
"97","human flesh",9
"98","metal liquids",9
"99","metallic molten",9
"100","metals steel",9
"101","molten aluminum",9
"102","molten slag",9
"103","money laundering",9
"104","natural tipping",9
"105","observed pooling",9
"106","office contents",9
"107","office debris",9
"108","official story",9
"109","oil platform",9
"110","organic materials",9
"111","pay attention",9
"112","pearl harbor",9
"113","produce molten",9
"114","raise minimum",9
"115","raising minimum",9
"116","russian army",9
"117","slag forms",9
"118","slag produced",9
"119","slag referred",9
"120","steel vertical",9
"121","type global",9
"122","water steam",9
"123","air defense",8
"124","anti semitic",8
"125","arabic fluently",8
"126","bank account",8
"127","billion dollars",8
"128","black tag",8
"129","branch called",8
"130","cold exposure",8
"131","confederate meteorologist",8
"132","conspiracy theory",8
"133","death total",8
"134","dual citizen",8
"135","enemy lines",8
"136","entire building",8
"137","federal government",8
"138","forces branch",8
"139","happening happening",8
"140","hijacking scenarios",8
"141","infinite anarchy",8
"142","infinite freedom",8
"143","jesus christ",8
"144","lines check",8
"145","middle eastern",8
"146","modern day",8
"147","multiple times",8
"148","oil rig",8
"149","secretive special",8
"150","ukraine supporters",8
"151","video games",8
"152","wage increases",8
