"","word","n"
"1","video games",46
"2","social media",39
"3","bin laden",38
"4","theo von",34
"5","white house",32
"6","pic related",26
"7","hate jew",24
"8","middle east",21
"9","white women",20
"10","false flag",19
"11","anti white",18
"12","crocodile leader",18
"13","king crocodile",18
"14","real world",18
"15","anti semitic",16
"16","apprentice baker",16
"17","fat yank",16
"18","air track",15
"19","entire world",15
"20","jesus christ",15
"21","replacement genocide",15
"22","white race",15
"23","ron paul",14
"24","jew death",13
"25","makes sense",13
"26","smoke weed",13
"27","mare combat",12
"28","night mare",12
"29","south america",12
"30","blue eyes",11
"31","random chance",11
"32","slide threads",11
"33","ancestral european",10
"34","armed forces",10
"35","babies penis",10
"36","blue pilled",10
"37","level math",10
"38","meat grinder",10
"39","rabbis mouth",10
"40","black guy",9
"41","false flags",9
"42","feel bad",9
"43","holy land",9
"44","left wing",9
"45","mentally ill",9
"46","stock market",9
"47","total jew",9
"48","ukraine russia",9
"49","video game",9
"50","background check",8
"51","biggest fan",8
"52","catholic church",8
"53","civil war",8
"54","common sense",8
"55","controlled opposition",8
"56","federal government",8
"57","federal reserve",8
"58","holy fuck",8
"59","infinite past",8
"60","military aid",8
"61","nuclear power",8
"62","real life",8
"63","russia advancing",8
"64","support israel",8
"65","tender women",8
"66","winning feel",8
"67","air superiority",7
"68","artillery guns",7
"69","billion dollars",7
"70","black person",7
"71","blah blah",7
"72","child rape",7
"73","cross dressing",7
"74","death cult",7
"75","field artillery",7
"76","fighting age",7
"77","fuck jew",7
"78","gina wild",7
"79","hare krishna",7
"80","leftist jew",7
"81","mass immigration",7
"82","mental illness",7
"83","months ago",7
"84","motor vehicles",7
"85","power plant",7
"86","pro israel",7
"87","pro white",7
"88","prophet muhammad",7
"89","push ukraine",7
"90","roman empire",7
"91","russian troops",7
"92","sexual deviants",7
"93","south africa",7
"94","white christian",7
"95","white guy",7
"96","world application",7
"97","world wars",7
"98","age european",6
"99","air support",6
"100","anti jew",6
"101","armored combat",6
"102","baby boomers",6
"103","biblical jew",6
"104","blue eyed",6
"105","bomb dropped",6
"106","border crossings",6
"107","bullshit topics",6
"108","combat vehicles",6
"109","consistently candid",6
"110","counter offensive",6
"111","dying democracy",6
"112","european founded",6
"113","everyday propaganda",6
"114","eyes picture",6
"115","family everyday",6
"116","fast food",6
"117","fiat enslavement",6
"118","fiat system",6
"119","founded nation",6
"120","government bureaucrats",6
"121","government fuck",6
"122","hate white",6
"123","hideous lies",6
"124","illusion politics",6
"125","imagine thinking",6
