"","word","n"
"1","janitor applications",188
"2","serial killers",106
"3","flat earth",48
"4","assault rifle",39
"5","serial killer",32
"6","eye level",28
"7","white americans",26
"8","mass immigration",22
"9","sky demon",22
"10","assault rifles",19
"11","social media",19
"12","white american",19
"13","black sea",18
"14","makes sense",18
"15","spiritual illusion",18
"16","white women",18
"17","dry dock",17
"18","soviet union",17
"19","controlled opposition",16
"20","jesus christ",16
"21","pic related",16
"22","select fire",16
"23","mentally ill",15
"24","social security",15
"25","climate change",14
"26","gay sex",14
"27","haven sheikh",14
"28","modern day",14
"29","federal reserve",13
"30","real life",13
"31","supreme court",13
"32","federal government",12
"33","fossil fuel",12
"34","police officer",12
"35","red meat",12
"36","free speech",11
"37","left wing",11
"38","months ago",11
"39","south america",11
"40","active serial",10
"41","anti white",10
"42","ban pornography",10
"43","civil war",10
"44","clown world",10
"45","fossil fuels",10
"46","gun control",10
"47","harry potter",10
"48","kill simps",10
"49","red heifer",10
"50","roman empire",10
"51","faraday cage",9
"52","holy fuck",9
"53","jew power",9
"54","master race",9
"55","north africa",9
"56","north african",9
"57","political implications",9
"58","trust sessions",9
"59","video games",9
"60","weeks ago",9
"61","white population",9
"62","black women",8
"63","conspiracy theory",8
"64","dying star",8
"65","gang related",8
"66","holy based",8
"67","multiple times",8
"68","national security",8
"69","president trump",8
"70","race mixing",8
"71","sex workers",8
"72","social credit",8
"73","south africa",8
"74","stopping white",8
"75","tax cuts",8
"76","ultra ultra",8
"77","unchecked archive",8
"78","unsolved murders",8
"79","white guy",8
"80","white house",8
"81","white nation",8
"82","white person",8
"83","white race",8
"84","andrew tate",7
"85","anti christian",7
"86","black guy",7
"87","blue eyed",7
"88","gun rights",7
"89","hillary clinton",7
"90","human history",7
"91","human trafficking",7
"92","importing millions",7
"93","italian women",7
"94","jew shill",7
"95","lead pipes",7
"96","paying attention",7
"97","school shooters",7
"98","single country",7
"99","thin air",7
"100","white genocide",7
"101","alert system",6
"102","banking jew",6
"103","birth rate",6
"104","blue eyes",6
"105","books published",6
"106","called white",6
"107","cold war",6
"108","conspiracy theorist",6
"109","cope cope",6
"110","dead nigger",6
"111","donald trump",6
"112","dumb fuck",6
"113","earth idiots",6
"114","eastern european",6
"115","entire world",6
"116","ethnic intimidation",6
"117","fund managers",6
"118","gay authoritarian",6
"119","gay community",6
"120","god damn",6
"121","hedge fund",6
"122","human sacrifice",6
"123","jew bankers",6
"124","kill boomers",6
"125","killed poor",6
"126","kilo class",6
"127","king nigger",6
"128","lives matter",6
"129","mass shootings",6
"130","mental illness",6
"131","middle class",6
"132","middle east",6
"133","moon sky",6
"134","national debt",6
"135","national socialists",6
"136","nuclear power",6
"137","organized crime",6
"138","past decade",6
"139","poor sex",6
"140","raw milk",6
"141","riot police",6
"142","russian ship",6
