"","word","n"
"1","janitor applications",196
"2","white women",74
"3","black women",40
"4","mental health",26
"5","pic related",26
"6","walkable cities",26
"7","jesus christ",22
"8","king nigger",20
"9","mentally ill",19
"10","north korea",18
"11","taylor swift",18
"12","anti white",17
"13","clown world",17
"14","middle class",17
"15","minute cities",17
"16","cold war",16
"17","white race",16
"18","social media",15
"19","commit adultery",14
"20","feel bad",14
"21","prime minister",14
"22","lil donnie",13
"23","makes sense",13
"24","real life",13
"25","favorite flavor",12
"26","god objectively",12
"27","left handed",12
"28","plant based",12
"29","rent free",12
"30","shake shack",12
"31","armenia proper",11
"32","black sea",11
"33","god bless",11
"34","white male",11
"35","blue eyes",10
"36","causal link",10
"37","civil war",10
"38","dishonest person",10
"39","docker compose",10
"40","fast food",10
"41","gonna nonce",10
"42","holy fuck",10
"43","letters patent",10
"44","personal feelings",10
"45","political implications",10
"46","rainbow flag",10
"47","social status",10
"48","strange love",10
"49","traffic lights",10
"50","world war",10
"51","ass blasted",9
"52","based oil",9
"53","belief system",9
"54","christ jesus",9
"55","foreign policy",9
"56","human sacrifice",9
"57","middle east",9
"58","modern women",9
"59","olive oil",9
"60","roman empire",9
"61","russian propaganda",9
"62","seed oils",9
"63","world runs",9
"64","atheist students",8
"65","beef tallow",8
"66","birthing hips",8
"67","catholic church",8
"68","eat chocolate",8
"69","english language",8
"70","federal government",8
"71","gay marriage",8
"72","god intended",8
"73","heavenly father",8
"74","human race",8
"75","mass immigration",8
"76","meaningful life",8
"77","nigger jew",8
"78","palm springs",8
"79","peanut butter",8
"80","pit bulls",8
"81","reprobate mind",8
"82","russian army",8
"83","russian peacekeepers",8
"84","saudi arabia",8
"85","screen shot",8
"86","sexual immorality",8
"87","south korea",8
"88","stop coming",8
"89","stop sign",8
"90","vast majority",8
"91","white christian",8
"92","white guy",8
"93","armed forces",7
"94","black guy",7
"95","blond hair",7
"96","butt sex",7
"97","dead russians",7
"98","drug addicts",7
"99","fundamental trustworthiness",7
"100","global jewry",7
"101","indian accounts",7
"102","internal dialogue",7
"103","modern day",7
"104","pay attention",7
