"","word","n"
"1","jew death",213
"2","total jew",211
"3","death total",194
"4","happy birthday",192
"5","box happy",189
"6","canvas confetti",189
"7","coming weeks",189
"8","janitor acceptance",189
"9","christian hospital",132
"10","raw milk",102
"11","middle east",98
"12","die die",86
"13","communist jew",44
"14","concentration camp",44
"15","intelligence agencies",41
"16","century history",40
"17","colonial satellite",40
"18","giving money",40
"19","israel intelligence",40
"20","obvious bullshit",40
"21","recent events",40
"22","article titled",39
"23","bad communist",39
"24","beheading video",39
"25","churchill wrote",39
"26","contra scandal",39
"27","fair trials",39
"28","gain power",39
"29","hussein correspondence",39
"30","hussein gain",39
"31","influence pakistan",39
"32","inside job",39
"33","iran contra",39
"34","iran war",39
"35","iraq iran",39
"36","judicial system",39
"37","leftist tendencies",39
"38","manufacture consent",39
"39","operation cyclone",39
"40","pakistan courtesy",39
"41","propaganda article",39
"42","sold weapons",39
"43","weapons bunker",39
"44","winston churchill",39
"45","false flag",37
"46","damage control",30
"47","jew shill",30
"48","liars jew",27
"49","baptist hospital",26
"50","die jew",24
"51","iron dome",24
"52","white women",24
"53","air force",22
"54","rockets hit",20
"55","jew lies",19
"56","lying jew",18
"57","single moms",18
"58","social media",18
"59","support israel",18
"60","filthy jew",17
"61","pure evil",17
"62","war crime",17
"63","israel air",16
"64","makes sense",16
"65","pic related",16
"66","white race",16
"67","blood type",15
"68","bottle rocket",15
"69","civil war",15
"70","jesus christ",15
"71","jew lie",15
"72","sand niggers",15
"73","world war",15
"74","hate jew",14
"75","oxygen tanks",14
"76","single mom",14
"77","west bank",14
"78","anti white",13
"79","israel bombs",13
"80","jew die",13
"81","jew israel",13
"82","master race",13
"83","pasteurized milk",13
"84","war crimes",13
"85","campaign jew",12
"86","dead jew",12
"87","drink raw",12
"88","entire hospital",12
"89","failed rocket",12
"90","fat yank",12
"91","god damn",12
"92","israel bombed",12
"93","single mothers",12
"94","bad guy",11
"95","bottle rockets",11
"96","civilian facilities",11
"97","flat earth",11
"98","holy fuck",11
"99","israel military",11
"100","million jew",11
"101","secondary explosions",11
"102","vast majority",11
"103","whooshing sound",11
"104","complete control",10
"105","embed embed",10
"106","fuck jew",10
"107","muslim countries",10
"108","saudi arabia",10
"109","secondary explosion",10
"110","white guy",10
"111","black women",9
"112","feel free",9
"113","flag operation",9
"114","ice cream",9
"115","islamic jihad",9
"116","israel status",9
"117","real life",9
"118","secular jew",9
"119","thou shalt",9
"120","united nations",9
"121","unprecedented anger",9
"122","white children",9
"123","americans drive",8
"124","blah blah",8
"125","blue collar",8
"126","collateral damage",8
"127","common sense",8
"128","days ago",8
"129","declare war",8
"130","evil jew",8
"131","extremely based",8
"132","feel bad",8
"133","god bless",8
"134","hate china",8
"135","hospital bombing",8
"136","human shields",8
"137","imagine thinking",8
"138","jew fuck",8
"139","key tip",8
