"","word","n"
"1","coming weeks",194
"2","janitor acceptance",194
"3","asian women",36
"4","raw milk",33
"5","anti white",26
"6","white women",26
"7","ban pornography",24
"8","nigger cattle",24
"9","body count",22
"10","national socialism",20
"11","national socialists",20
"12","sean penn",20
"13","civil war",19
"14","pic related",19
"15","mentally ill",17
"16","jew power",16
"17","drag queens",14
"18","press charges",14
"19","prime minister",14
"20","real life",14
"21","screen shot",14
"22","months ago",13
"23","blue collar",12
"24","climate change",12
"25","drag queen",12
"26","drink milk",12
"27","middle east",12
"28","national socialist",12
"29","property rights",12
"30","publicly executed",12
"31","social media",12
"32","american niggers",11
"33","bud light",11
"34","secret military",11
"35","white house",11
"36","white race",11
"37","free market",10
"38","gas chamber",10
"39","lower body",10
"40","paying rent",10
"41","social life",10
"42","jew sacred",9
"43","lactose tolerant",9
"44","makes sense",9
"45","minimum wage",9
"46","video games",9
"47","white nationalist",9
"48","fast food",8
"49","holy fuck",8
"50","illegally evict",8
"51","intelligent system",8
"52","nuclear war",8
"53","south america",8
"54","stop paying",8
"55","vast majority",8
"56","war economy",8
"57","african americans",7
"58","air force",7
"59","anti christian",7
"60","ass kicked",7
"61","bill burr",7
"62","black women",7
"63","essential workers",7
"64","ethnic replacement",7
"65","gas chambers",7
"66","god damn",7
"67","heart attack",7
"68","lives matter",7
"69","military base",7
"70","political implications",7
"71","political system",7
"72","real world",7
"73","support russia",7
"74","transit police",7
"75","ukraine war",7
"76","wait till",7
"77","america destroyed",6
"78","anti christ",6
"79","bad guy",6
"80","belief system",6
"81","burger king",6
"82","charges stop",6
"83","common sense",6
"84","congress votes",6
"85","doomsday plane",6
"86","dumb nigger",6
"87","entire life",6
"88","entire world",6
"89","entrap landlords",6
"90","federal government",6
"91","feel bad",6
"92","ginger lives",6
"93","huge pay",6
"94","hungarian language",6
"95","hungarian speaking",6
"96","ice cream",6
"97","israel sells",6
"98","japanese military",6
"99","jesus christ",6
"100","landlords provoke",6
"101","mass media",6
"102","mind control",6
"103","nigger faggot",6
"104","phone call",6
"105","portable soup",6
"106","rent free",6
"107","report sage",6
"108","russia wins",6
"109","russian propaganda",6
"110","sacred talmud",6
"111","secret mountain",6
"112","single mothers",6
"113","spirit war",6
"114","support ukraine",6
"115","term action",6
"116","video game",6
"117","white niggers",6
"118","aka european",5
"119","anti semitic",5
"120","anti social",5
"121","bad weather",5
"122","blue eyes",5
"123","border patrol",5
"124","brain damage",5
"125","bully walk",5
"126","bump limit",5
"127","diversity hire",5
"128","dumb faggot",5
"129","evil jew",5
"130","family tree",5
"131","free speech",5
"132","giant step",5
"133","holy based",5
"134","jew cult",5
"135","jew loving",5
"136","jew rat",5
"137","justice system",5
"138","lactose free",5
"139","lactose intolerant",5
"140","love milk",5
"141","military bases",5
"142","modern national",5
"143","mother fuck",5
"144","nuclear power",5
"145","pasteurized milk",5
"146","peaceful political",5
"147","pre christian",5
"148","pregnant women",5
"149","president trump",5
"150","pretty bad",5
"151","pretty based",5
"152","pro russian",5
"153","race mixing",5
"154","race war",5
"155","red pill",5
"156","republican party",5
"157","security council",5
"158","stone age",5
"159","supporting israel",5
"160","west loses",5
"161","aka white",4
"162","american blacks",4
"163","american jew",4
"164","black guy",4
"165","black sea",4
"166","blue eyed",4
"167","boomer goad",4
"168","campaign begins",4
"169","car companies",4
"170","caste system",4
"171","cement plant",4
"172","child abuse",4
"173","chocolate milk",4
"174","chug comfy",4
"175","clown world",4
"176","cluster munition",4
"177","comfy happening",4
"178","couple months",4
"179","debt jubilee",4
"180","desirable land",4
"181","easy decision",4
"182","economically illiterate",4
"183","european aka",4
"184","exist anymore",4
"185","fake virus",4
"186","financial advice",4
"187","fresh milk",4
"188","fuck jew",4
"189","fuck kids",4
"190","fuck landlords",4
"191","grocery store",4
"192","highly doubt",4
"193","hit puberty",4
"194","hope russia",4
"195","hotel owners",4
"196","human history",4
"197","industrial complex",4
"198","jew alike",4
"199","jew fuck",4
"200","jew money",4
"201","jew president",4
"202","jew racial",4
"203","jew rats",4
"204","jew religious",4
"205","jew retard",4
"206","jew system",4
"207","joint strike",4
"208","land rover",4
"209","landlord fuck",4
"210","law favors",4
"211","lazy retard",4
"212","left wing",4
"213","liberal lion",4
"214","live stream",4
"215","louisiana parole",4
"216","lower class",4
"217","matter ginger",4
"218","mexican women",4
"219","military industrial",4
"220","military intelligence",4
"221","military verbatim",4
"222","milk tastes",4
"223","million times",4
"224","minute phone",4
"225","money laundering",4
"226","nigger jew",4
"227","nigger tier",4
"228","philosophers stone",4
"229","pill banned",4
"230","placebo effect",4
"231","political party",4
"232","political solution",4
"233","political solutions",4
"234","pretty funny",4
"235","probe set",4
"236","provide housing",4
"237","real enemy",4
"238","real fast",4
"239","real issue",4
"240","rent controls",4
"241","rental car",4
"242","restaurant owners",4
"243","retard faggot",4
"244","russian army",4
"245","san francisco",4
"246","sarah ashton",4
"247","shoot landlord",4
"248","single person",4
"249","single word",4
"250","sleeping giant",4
"251","soap opera",4
"252","soul eaters",4
"253","south africa",4
"254","space alien",4
"255","space monarchy",4
"256","speak english",4
"257","spike protein",4
"258","staff observed",4
"259","stop revolution",4
"260","strategic weapons",4
"261","tempo tempo",4
"262","total mutt",4
"263","traffic lights",4
"264","trust society",4
"265","ukraine happening",4
"266","ultimate red",4
"267","vaccine rollout",4
"268","virtue signaling",4
"269","walk planned",4
"270","war crimes",4
"271","war fuck",4
"272","water supply",4
"273","western countries",4
"274","western world",4
"275","white boy",4
"276","white girls",4
"277","white nationalists",4
"278","white white",4
"279","women pregnant",4
"280","worth watching",4
"281","youth justice",4
"282","access restricted",3
"283","aggressive dogs",3
"284","aid package",3
"285","air defense",3
"286","aka ethnic",3
"287","american culture",3
"288","andrew tate",3
"289","anti establishment",3
"290","anti vaccine",3
"291","armed forces",3
"292","arming ukraine",3
"293","arse sex",3
"294","attack statistics",3
"295","average women",3
"296","babies proof",3
"297","bad faith",3
"298","based white",3
"299","bathing installations",3
"300","billions selling",3
"301","birth rate",3
"302","black thursday",3
"303","bloody bitch",3
"304","boarder patrol",3
"305","body politic",3
"306","boomer nurse",3
"307","brain damaged",3
"308","brits die",3
"309","call sign",3
"310","cannon fodder",3
"311","central asian",3
"312","change politics",3
"313","child molesting",3
"314","child pornography",3
"315","chlorine dioxide",3
"316","city fags",3
"317","close family",3
"318","close proximity",3
"319","clown makes",3
"320","comedy tour",3
"321","concentration camps",3
"322","cope harder",3
"323","costa rica",3
"324","cow milk",3
"325","crazy dressing",3
"326","criminal mischief",3
"327","cruise missiles",3
"328","dairy farm",3
"329","dead russians",3
"330","death penalty",3
"331","decade ago",3
"332","democrat party",3
"333","digits confirm",3
"334","diversity hires",3
"335","dress code",3
"336","drinking milk",3
"337","driver told",3
"338","drug addict",3
"339","drug addicts",3
"340","dumb fuck",3
"341","duncan smith",3
"342","dysgenic mutt",3
"343","electric bike",3
"344","electric cars",3
"345","energy shortage",3
"346","english speaking",3
"347","entire army",3
"348","entire planet",3
"349","ethnic cleansing",3
"350","evil cunts",3
"351","evil god",3
"352","faggot ass",3
"353","failed project",3
"354","faith leaders",3
"355","fake jew",3
"356","fallen recruits",3
"357","false witness",3
"358","feel free",3
"359","fellow white",3
"360","financial system",3
"361","fire air",3
"362","flag jew",3
"363","football game",3
"364","forced genital",3
"365","foreign policy",3
"366","free land",3
"367","free milk",3
"368","french dude",3
"369","fuck yeah",3
"370","galactic heroes",3
"371","gas station",3
"372","gated communities",3
"373","gay russia",3
"374","gene pool",3
"375","genital mutilation",3
"376","genocide aka",3
"377","german national",3
"378","god bless",3
"379","gonna mothball",3
"380","gun control",3
"381","guy fuck",3
"382","guy pretending",3
"383","hand path",3
"384","hands typed",3
"385","hard mode",3
"386","health science",3
"387","hey hey",3
"388","highway intersection",3
"389","hobo life",3
"390","host nation",3
"391","housing crisis",3
"392","human wave",3
"393","hungarian identity",3
"394","hungarian runic",3
"395","identity survey",3
"396","imagine believing",3
"397","imagine living",3
"398","increasingly unpopular",3
"399","indian culture",3
"400","israel jew",3
"401","israel treason",3
"402","japanese women",3
"403","jew control",3
"404","jew faggot",3
"405","jew hate",3
"406","jew lies",3
"407","jew population",3
"408","jew run",3
"409","jew soap",3
"410","jew started",3
"411","jew worshippers",3
"412","jew york",3
"413","jury duty",3
"414","lab workers",3
"415","lactase persistence",3
"416","landing craft",3
"417","leader trump",3
"418","left hand",3
"419","literal jew",3
"420","loan words",3
"421","lose coordination",3
"422","lost territory",3
"423","loving retard",3
"424","low class",3
"425","makes supporting",3
"426","male babies",3
"427","means european",3
"428","meat grinder",3
"429","mental illness",3
"430","middle ages",3
"431","middle class",3
"432","military aid",3
"433","military faction",3
"434","milk ranges",3
"435","missile attack",3
"436","modernization effort",3
"437","modernize society",3
"438","mountain bikers",3
"439","muslim indian",3
"440","nationalist movement",3
"441","native american",3
"442","nigger chink",3
"443","nigger dicks",3
"444","nigger lover",3
"445","normal person",3
"446","north korea",3
"447","nuclear energy",3
"448","odious debt",3
"449","ongoing ethnic",3
"450","opera designed",3
"451","opinion discarded",3
"452","paid shill",3
"453","painful death",3
"454","panic mode",3
"455","pee pee",3
"456","penis inspection",3
"457","pit bull",3
"458","poland giving",3
"459","police chief",3
"460","polish government",3
"461","polish prime",3
"462","political philosophy",3
"463","political power",3
"464","political structures",3
"465","political views",3
"466","politics stuff",3
"467","power controls",3
"468","power plays",3
"469","predictive programming",3
"470","president donald",3
"471","primary results",3
"472","pro russia",3
"473","promoting crimes",3
"474","protected class",3
"475","protecting faggot",3
"476","proven wrong",3
"477","public sector",3
"478","publicly executing",3
"479","ranch documentary",3
"480","raw milker",3
"481","real country",3
"482","real estate",3
"483","real jew",3
"484","real national",3
"485","recorded history",3
"486","red blooded",3
"487","red hair",3
"488","retard bullshit",3
"489","rich kid",3
"490","riding solo",3
"491","runic alphabet",3
"492","russell brand",3
"493","russian propagandist",3
"494","russian shill",3
"495","sacred ritual",3
"496","sand nigger",3
"497","science institutions",3
"498","secretly trans",3
"499","separatist movement",3
"500","sewage system",3
"501","seymour hersh",3
"502","shake uncontrollably",3
"503","shill threads",3
"504","silver platter",3
"505","single day",3
"506","single mom",3
"507","single mother",3
"508","skin color",3
"509","slave class",3
"510","slavic loan",3
"511","smart person",3
"512","social construct",3
"513","social interaction",3
"514","society collapsed",3
"515","sounds based",3
"516","south korea",3
"517","southern border",3
"518","sparsely populated",3
"519","speaking hungarian",3
"520","speaking pilots",3
"521","special action",3
"522","steve jobs",3
"523","stop oil",3
"524","stop pretending",3
"525","storm shadows",3
"526","suck ass",3
"527","sucking cock",3
"528","suicide watch",3
"529","supported advancing",3
"530","talmud promotes",3
"531","talmud tells",3
"532","tax dollars",3
"533","tells jew",3
"534","terror attack",3
"535","times argument",3
"536","tiny bit",3
"537","tommy mommy",3
"538","total control",3
"539","trailer park",3
"540","trans gender",3
"541","treason israel",3
"542","ukrainian grain",3
"543","ukrainian military",3
"544","ukrainian war",3
"545","uncle tom",3
"546","underground tunnels",3
"547","universal credit",3
"548","virgin queen",3
"549","wandering earth",3
"550","warm feelings",3
"551","watch psycho",3
"552","wave attacks",3
"553","weak ass",3
"554","wealth expel",3
"555","weeks ago",3
"556","western civilization",3
"557","western women",3
"558","white anti",3
"559","white babies",3
"560","white guy",3
"561","white means",3
"562","white peoples",3
"563","white power",3
"564","white society",3
"565","white solidarity",3
"566","wild elephants",3
"567","world country",3
"568","world modernize",3
"569","abortion policy",2
"570","absolute mic",2
"571","absolute superiority",2
"572","absolute unit",2
"573","absolutely absorbed",2
"574","absolutely crazy",2
"575","academic paper",2
"576","accurate shot",2
"577","act surprised",2
"578","actively subverting",2
"579","actual political",2
"580","actual videos",2
"581","actual worst",2
"582","addicted low",2
"583","additional income",2
"584","additional training",2
"585","additionally meet",2
"586","address deeper",2
"587","adjacent tour",2
