"","word","n"
"1","death total",410
"2","total nigger",401
"3","nigger death",400
"4","world class",158
"5","jew death",56
"6","jury duty",55
"7","total jew",52
"8","middle east",41
"9","robin hood",29
"10","white race",25
"11","white women",25
"12","class women",24
"13","anti white",23
"14","safety standards",23
"15","buzz buzz",21
"16","class wives",20
"17","pro israel",20
"18","housing prices",19
"19","infantry support",18
"20","jew power",18
"21","jury nullification",18
"22","pic related",18
"23","jesus christ",17
"24","paid shill",17
"25","crime rate",16
"26","mass immigration",16
"27","real estate",16
"28","social media",16
"29","white christian",16
"30","anti semitic",15
"31","brain scans",15
"32","nazi nazi",15
"33","orthodox jew",15
"34","beef fish",14
"35","class beef",14
"36","crypto currency",14
"37","invented crypto",14
"38","israel jew",14
"39","mentally ill",14
"40","night life",14
"41","steel mill",14
"42","women world",14
"43","academic leftist",13
"44","dead jew",13
"45","european countries",13
"46","feminist related",13
"47","israel threads",13
"48","leftist losers",13
"49","national debt",13
"50","pseudo academic",13
"51","related threads",13
"52","samson option",13
"53","saudi arabia",13
"54","shareholders meeting",13
"55","civil war",12
"56","class gaming",12
"57","class night",12
"58","class whiskey",12
"59","false flag",12
"60","gaming entertainment",12
"61","illegal immigrant",12
"62","largest economy",12
"63","leading role",12
"64","life span",12
"65","loved giant",12
"66","lowest crime",12
"67","minimum wage",12
"68","real life",12
"69","sexual services",12
"70","skip jury",12
"71","word class",12
"72","bad guy",11
"73","birth rate",11
"74","blue eyes",11
"75","human shields",11
"76","white genocide",11
"77","air force",10
"78","automobiles world",10
"79","class automobiles",10
"80","class education",10
"81","class motorcycles",10
"82","class robotics",10
"83","class shopping",10
"84","entertainment world",10
"85","god damn",10
"86","housing market",10
"87","israel government",10
"88","jew land",10
"89","mass shootings",10
"90","modern armor",10
"91","shareholder meeting",10
"92","west bank",10
"93","white european",10
"94","atheist anti",9
"95","entire world",9
"96","free speech",9
"97","holy fuck",9
"98","japanese women",9
"99","jew boy",9
"100","lying jew",9
"101","mass shooting",9
"102","metric system",9
"103","nuclear weapons",9
"104","support israel",9
"105","taylor swift",9
"106","white guy",9
"107","anti islamic",8
"108","bark bark",8
"109","class electronics",8
"110","class transport",8
"111","ethnic replacement",8
"112","eye color",8
"113","fish world",8
"114","fuck jew",8
"115","gun shop",8
"116","hate jew",8
"117","japan invented",8
"118","japanese whiskey",8
"119","jew shill",8
"120","jew women",8
"121","killing children",8
"122","literally jew",8
"123","mare combat",8
"124","military planes",8
"125","military service",8
"126","night mare",8
"127","robotics world",8
"128","sand niggers",8
"129","shopping world",8
"130","transport network",8
"131","weeks ago",8
"132","world lowest",8
"133","world peace",8
"134","world war",8
"135","world world",8
"136","anti tank",7
"137","arab nations",7
"138","black guy",7
"139","blonde hair",7
"140","brain scan",7
"141","brown eyes",7
"142","clot adams",7
"143","entry level",7
"144","fuck niggers",7
"145","genetically modified",7
"146","hate white",7
"147","jew christian",7
"148","jew christianity",7
"149","jew hate",7
"150","jew lies",7
"151","jew media",7
"152","jew sacred",7
"153","lady gaga",7
"154","military base",7
"155","military targets",7
"156","national socialist",7
"157","play hockey",7
"158","political implications",7
"159","prime minister",7
"160","refined sugar",7
"161","roman empire",7
"162","sand nigger",7
"163","stupid fuck",7
"164","tax dollars",7
"165","tax money",7
"166","western medicine",7
"167","yap yap",7
"168","air defense",6
"169","alien invasion",6
"170","average height",6
"171","beheaded babies",6
"172","biblical times",6
"173","blue eyed",6
"174","capital city",6
"175","civil rights",6
"176","completely destroy",6
"177","cope harder",6
"178","dating coaches",6
"179","declare war",6
"180","drink beer",6
"181","dumb ass",6
"182","electronics world",6
"183","enjoy life",6
"184","ethnic cleansing",6
"185","european country",6
"186","fake alien",6
"187","gold bars",6
"188","hate niggers",6
"189","huge transformation",6
"190","human rights",6
"191","iraq war",6
"192","israel army",6
"193","israel defense",6
"194","japanese pussy",6
"195","jew control",6
"196","jew fuck",6
"197","jew killed",6
"198","kill chickens",6
"199","law enforcement",6
"200","left wing",6
"201","life world",6
"202","maintain social",6
"203","makes sense",6
"204","martin shareholders",6
"205","mental illness",6
"206","modern tank",6
"207","monolithic society",6
"208","motorcycles word",6
"209","multicultural mode",6
"210","multiple times",6
"211","muslim invaders",6
"212","network world",6
"213","neutron bombs",6
"214","offer citizenship",6
"215","real war",6
"216","real world",6
"217","red pill",6
"218","refugee camp",6
"219","sake world",6
"220","sexual preferences",6
"221","shareholder meetings",6
"222","shootings saved",6
"223","single day",6
"224","supervisor role",6
"225","times exodus",6
"226","victim complex",6
"227","war crime",6
"228","war crimes",6
"229","white collar",6
"230","white countries",6
"231","white nations",6
"232","wives world",6
"233","absolute jew",5
"234","anti jew",5
"235","anti semite",5
"236","asylum seekers",5
"237","authority figure",5
"238","based jew",5
"239","bill clinton",5
"240","bird names",5
"241","bombing civilians",5
"242","brown eyed",5
"243","child sex",5
"244","christian god",5
"245","civilian population",5
"246","civilians killed",5
"247","cock stare",5
"248","comfy happening",5
"249","complete yid",5
