"","word","n"
"1","happy birthday",194
"2","box happy",193
"3","canvas confetti",193
"4","coming weeks",193
"5","janitor acceptance",193
"6","middle east",37
"7","goblin king",34
"8","assault rifle",32
"9","flat earth",32
"10","jesus christ",32
"11","golden age",27
"12","ground invasion",25
"13","false flag",20
"14","gun control",19
"15","jew dick",18
"16","mass shooting",17
"17","north korea",16
"18","pic related",16
"19","islamic golden",15
"20","jew death",15
"21","makes sense",15
"22","stop posting",15
"23","total jew",15
"24","anti white",14
"25","civil war",14
"26","hate jew",14
"27","israel jew",14
"28","mass shootings",14
"29","middle eastern",14
"30","roman empire",14
"31","anti semitic",13
"32","iron dome",13
"33","israel military",13
"34","social credit",13
"35","catholic church",12
"36","european countries",12
"37","ground incursion",12
"38","hearing aids",12
"39","heavy metal",12
"40","law enforcement",12
"41","sand niggers",12
"42","scale invasion",12
"43","suck jew",12
"44","entire world",11
"45","eye level",11
"46","fuck jew",11
"47","holy fuck",11
"48","north woods",10
"49","operation mockingbird",10
"50","operation north",10
"51","pants knowing",10
"52","pictures operation",10
"53","saudi arabia",10
"54","social media",10
"55","white culture",10
"56","woods operation",10
"57","comfy happening",9
"58","die jew",9
"59","homicide rates",9
"60","ice age",9
"61","jew cock",9
"62","jew hate",9
"63","muslim countries",9
"64","real estate",9
"65","reminder israel",9
"66","started invasion",9
"67","supporting israel",9
"68","vast majority",9
"69","white women",9
"70","world war",9
"71","anti islamic",8
"72","boiled meat",8
"73","climate change",8
"74","credit score",8
"75","current ground",8
"76","double bind",8
"77","gun laws",8
"78","holy land",8
"79","house speaker",8
"80","israel tanks",8
"81","mentally ill",8
"82","political views",8
"83","pro israel",8
"84","real life",8
"85","red pill",8
"86","septic system",8
"87","slave morality",8
"88","tsar times",8
"89","walking upright",8
"90","west bank",8
"91","air force",7
"92","animals walking",7
"93","anti christian",7
"94","based fuck",7
"95","black son",7
"96","bowling alley",7
"97","dead jew",7
"98","federal reserve",7
"99","god damn",7
"100","heavy metals",7
"101","homicide rate",7
"102","laser pointer",7
"103","multiple times",7
"104","mystery meat",7
"105","nuclear war",7
"106","nuke israel",7
"107","public opinion",7
"108","sand nigger",7
"109","speaker mike",7
"110","support israel",7
"111","war crimes",7
"112","war war",7
"113","weeks ago",7
"114","absolute retard",6
"115","air defense",6
"116","aircraft carrier",6
"117","assault weapon",6
"118","atheist anti",6
"119","bowling ball",6
"120","brown control",6
"121","chip comfy",6
"122","christian jew",6
"123","clap clap",6
"124","common sense",6
"125","damage control",6
"126","days ago",6
"127","easily win",6
"128","eastern european",6
"129","fetal pain",6
"130","gay parade",6
"131","health care",6
"132","hearing aid",6
"133","holy spirit",6
"134","hormone therapy",6
"135","income tax",6
"136","islamic world",6
"137","israel flag",6
"138","israel reminder",6
"139","jew created",6
"140","jew shill",6
"141","learn japanese",6
"142","live streams",6
"143","military bases",6
"144","minimum wage",6
"145","months ago",6
"146","moon god",6
"147","muslim world",6
"148","palestinian jew",6
"149","pro white",6
"150","pure evil",6
"151","red sea",6
"152","sky daddy",6
"153","south korea",6
"154","special forces",6
"155","stupid fuck",6
"156","sucking jew",6
"157","suicide attacks",6
"158","tax dollars",6
"159","whats wrong",6
"160","white guy",6
"161","accept jesus",5
"162","age ancestors",5
"163","ancestors imagining",5
"164","anti christ",5
"165","anti semite",5
"166","ass country",5
"167","assault rifles",5
"168","assault weapons",5
"169","banger alert",5
"170","beef stew",5
"171","buck breaking",5
"172","cannon fodder",5
"173","christian values",5
"174","deep inside",5
"175","dumb ass",5
"176","embed embed",5
"177","european pagan",5
"178","fuck israel",5
"179","gender affirming",5
"180","geometric horizon",5
"181","god bless",5
"182","god told",5
"183","gods chosen",5
"184","gun violence",5
"185","hate israel",5
"186","hours ago",5
"187","human history",5
"188","hundred thousand",5
"189","jew domination",5
"190","jew fuck",5
"191","jew israel",5
"192","jew propaganda",5
"193","jew women",5
"194","left wing",5
"195","live stream",5
"196","loaded gun",5
