"","word","n"
"1","mind control",63
"2","false memory",56
"3","troll threads",54
"4","sand nigger",51
"5","nigger bullshit",46
"6","bullshit sand",42
"7","jesus christ",41
"8","child abuse",39
"9","false flag",33
"10","memory syndrome",32
"11","ritual murder",31
"12","god jesus",30
"13","anti white",28
"14","ritual abuse",28
"15","jew ritual",26
"16","white women",25
"17","red barron",24
"18","syndrome foundation",24
"19","pic related",23
"20","social media",23
"21","booty hole",20
"22","real estate",19
"23","addict shoplifter",18
"24","air force",18
"25","anti windows",18
"26","apple nigger",18
"27","blatant troll",18
"28","day deleting",18
"29","dumped jay",18
"30","engaged david",18
"31","fag virtue",18
"32","immediately blew",18
"33","larry richard",18
"34","life posting",18
"35","makes sense",18
"36","manly drive",18
"37","middle east",18
"38","richard gordon",18
"39","signaling toys",18
"40","simultaneously dumped",18
"41","threads deleting",18
"42","virtue signaling",18
"43","whore dad",18
"44","word banned",18
"45","anti semitic",17
"46","captain america",17
"47","jew hate",17
"48","mass shootings",16
"49","hate white",15
"50","military service",15
"51","concentration camp",14
"52","false memories",14
"53","hate dogs",14
"54","human mutilation",14
"55","national security",14
"56","compulsory military",12
"57","feed seed",12
"58","jew soap",12
"59","meat grinder",12
"60","satanic panic",12
"61","soap consumer",12
"62","war looms",12
"63","armed forces",11
"64","civil war",11
"65","feel bad",11
"66","fuck jew",11
"67","god damn",11
"68","real life",11
"69","war crimes",11
"70","anti jew",10
"71","barker dog",10
"72","based department",10
"73","cannon fodder",10
"74","captain barker",10
"75","central bank",10
"76","dog police",10
"77","hole brown",10
"78","jew women",10
"79","michael jackson",10
"80","military training",10
"81","replacement genocide",10
"82","san francisco",10
"83","satanic ritual",10
"84","sexual abuse",10
"85","sexually abused",10
"86","theo von",10
"87","unsolved jew",10
"88","useless monkey",10
"89","video games",10
"90","anti israel",9
"91","ethnic cleansing",9
"92","fighting age",9
"93","front lines",9
"94","god bless",9
"95","mental health",9
"96","months ago",9
"97","pretty cool",9
"98","west bank",9
"99","white countries",9
"100","black women",8
"101","children found",8
"102","control experiments",8
"103","evil malicious",8
"104","found naked",8
"105","hate women",8
"106","housing market",8
"107","james fields",8
"108","jew fuck",8
"109","jew rat",8
"110","jew sperm",8
"111","medical school",8
"112","money laundering",8
"113","naked frozen",8
"114","newspaper clipping",8
"115","political party",8
"116","poppy fields",8
"117","real intellectuals",8
"118","red wing",8
"119","ritual child",8
"120","sand niggers",8
"121","screen shot",8
"122","service buildings",8
"123","slide threads",8
"124","stop posting",8
"125","tax dollars",8
"126","total jew",8
"127","war crime",8
"128","world country",8
"129","archive link",7
"130","based irish",7
"131","bin laden",7
"132","blah blah",7
"133","deep phase",7
"134","directing attacks",7
"135","estate market",7
"136","flu shot",7
"137","gods chosen",7
"138","hate jew",7
"139","housing prices",7
"140","intentionally directing",7
"141","irish catholic",7
"142","israel jew",7
"143","jew death",7
"144","north korea",7
"145","occupation government",7
"146","retard faggot",7
"147","scott ritter",7
"148","southern california",7
"149","support israel",7
"150","tough guy",7
"151","white children",7
"152","world countries",7
"153","world wars",7
"154","abuse allegations",6
"155","artist study",6
"156","bad guy",6
"157","black dogs",6
"158","black sea",6
"159","boot dryers",6
"160","brain damage",6
"161","china russia",6
"162","death cap",6
"163","drag queens",6
"164","entry level",6
"165","evil white",6
"166","experimental psychiatry",6
"167","false accusations",6
"168","federal government",6
"169","free speech",6
"170","fuck israel",6
"171","fuck niggers",6
"172","gonna false",6
"173","harrison ford",6
