"","word","n"
"1","hours click",189
"2","janitor applications",189
"3","south indian",89
"4","indian niggers",87
"5","haven sheikh",84
"6","sir cauldron",62
"7","white women",49
"8","depleted uranium",44
"9","boy scouts",37
"10","zen king",36
"11","white supremacy",30
"12","white slaves",29
"13","anti white",24
"14","andrew tate",21
"15","grand jury",20
"16","islamic justice",20
"17","islamic rule",20
"18","pic related",20
"19","nuclear war",19
"20","social media",19
"21","king haver",18
"22","sex breeder",18
"23","south america",18
"24","teenagers defiler",18
"25","daily reminder",17
"26","multicultural society",17
"27","special forces",17
"28","makes sense",16
"29","civil rights",15
"30","mass immigration",15
"31","niggers words",15
"32","shameless subhuman",15
"33","subhuman traitors",15
"34","traitors called",15
"35","words meaning",15
"36","gulf war",14
"37","middle class",14
"38","nuclear weapons",14
"39","real life",14
"40","white male",14
"41","jesus christ",13
"42","uranium rounds",13
"43","islamic slave",12
"44","prime minister",12
"45","white race",12
"46","castrated white",11
"47","civil war",11
"48","germ theory",11
"49","heavy metal",11
"50","middle east",11
"51","race mixing",11
"52","real estate",11
"53","royal marines",11
"54","abolished slavery",10
"55","american felons",10
"56","auto pistol",10
"57","baltimore battle",10
"58","black american",10
"59","black eunuchs",10
"60","black felons",10
"61","bombed tripoli",10
"62","bring islamic",10
"63","caliphate islamic",10
"64","climate change",10
"65","color liberate",10
"66","confederate meteorologist",10
"67","deprive black",10
"68","discover white",10
"69","ecological civilization",10
"70","enslave white",10
"71","enslaving white",10
"72","fish storm",10
"73","indian infidels",10
"74","invent civil",10
"75","islamic conquest",10
"76","islamic slavery",10
"77","jefferson bombed",10
"78","jew hate",10
"79","justice holy",10
"80","liberate white",10
"81","male patriarchy",10
"82","mentally ill",10
"83","movie day",10
"84","oppose islamic",10
"85","reinstate islamic",10
"86","slave auctions",10
"87","slavery racist",10
"88","stop enslaving",10
"89","supremacy islamic",10
"90","thomas jefferson",10
"91","western world",10
"92","white genocide",10
"93","white person",10
"94","white white",10
"95","armed forces",9
"96","black market",9
"97","clown world",9
"98","controlled opposition",9
"99","dumb nigger",9
"100","federal government",9
"101","fried chicken",9
"102","god bless",9
"103","lindsey graham",9
"104","meat grinder",9
"105","pro white",9
"106","roman empire",9
"107","social status",9
"108","strategic studies",9
"109","toilet paper",9
"110","ukrainian conscripts",9
"111","video games",9
"112","credit card",8
"113","dev gab",8
"114","economic war",8
"115","entire life",8
"116","failed lawyer",8
"117","financial elite",8
"118","financial system",8
"119","flower power",8
"120","fractional reserve",8
"121","human history",8
"122","jew women",8
"123","married anon",8
"124","million contract",8
"125","negroid dev",8
"126","nigger beard",8
"127","nuclear power",8
"128","project negroid",8
"129","real power",8
"130","real world",8
"131","reformed stoic",8
"132","smoke detector",8
"133","superior white",8
"134","support russia",8
"135","wall street",8
"136","western countries",8
"137","actual happening",7
"138","amazing stuff",7
"139","balance sheet",7
"140","black sea",7
"141","boy scout",7
"142","british army",7
"143","catholic church",7
"144","drug cartels",7
"145","eagle scout",7
"146","federal reserve",7
"147","foreign relations",7
"148","gay killed",7
"149","god damn",7
"150","gold pieces",7
"151","holy fuck",7
"152","jew puppet",7
"153","justice system",7
"154","mental health",7
"155","mexico city",7
"156","money laundering",7
"157","months ago",7
"158","nigger lover",7
"159","north carolina",7
"160","nuclear reactors",7
"161","nuclear waste",7
"162","policy analysis",7
"163","pop culture",7
"164","smoke alarm",7
"165","soviet union",7
"166","uplifting amazing",7
"167","white christian",7
"168","white countries",7
"169","white males",7
"170","ass beliefs",6
"171","backwards ass",6
"172","business world",6
"173","central banking",6
"174","cheap labor",6
"175","cultural division",6
"176","darker skin",6
"177","derive social",6
"178","drink piss",6
"179","entire family",6
"180","false flag",6
"181","free speech",6
"182","gathering meetings",6
"183","gay sex",6
"184","grand juries",6
"185","grip safety",6
"186","hate christianity",6
"187","holding hands",6
"188","housing crisis",6
"189","immigration act",6
"190","jew cock",6
"191","jew president",6
"192","knights armament",6
"193","local infidels",6
"194","mass migration",6
"195","mexican drug",6
"196","multiple times",6
"197","national socialist",6
"198","nigger tate",6
"199","nigger tier",6
"200","normal person",6
"201","polish flag",6
"202","race war",6
"203","rational politicians",6
"204","receding hairline",6
"205","receive importance",6
"206","remove grip",6
"207","requirements gathering",6
"208","russian women",6
"209","safety stops",6
"210","screen shot",6
"211","service rifle",6
"212","short stroke",6
"213","spanish flu",6
"214","stop lying",6
"215","stop racism",6
"216","urban combat",6
"217","western tanks",6
"218","white agenda",6
"219","world slums",6
"220","world war",6
"221","american girls",5
"222","american government",5
"223","anon muslim",5
"224","anti european",5
"225","artificially perfect",5
"226","based company",5
"227","birth defects",5
"228","birth rate",5
"229","black women",5
"230","blue collar",5
"231","brain damage",5
"232","coca cola",5
"233","combat zones",5
"234","controlled media",5
"235","core ammunition",5
"236","democratic party",5
"237","dumb ass",5
"238","dumb fuck",5
"239","ethnic majority",5
"240","ethnic minority",5
"241","fake virus",5
"242","family unit",5
"243","fast food",5
"244","fat belly",5
"245","fat women",5
"246","feel bad",5
"247","financial elites",5
"248","foreign affairs",5
"249","front line",5
"250","frying fork",5
"251","gas chamber",5
"252","gas stations",5
"253","green energy",5
"254","hate freedom",5
"255","hot bedding",5
"256","house rule",5
"257","illegal ballots",5
"258","jew god",5
"259","jew masters",5
"260","jew media",5
"261","jew nigger",5
"262","jew overlords",5
"263","kiddy diddling",5
"264","low level",5
"265","massive faggot",5
"266","military aid",5
"267","million dollar",5
"268","modern day",5
"269","morning sir",5
"270","physical evidence",5
"271","political party",5
"272","pro life",5
"273","programming guru",5
"274","radioactive dust",5
"275","radioactive material",5
"276","radioactive materials",5
"277","real women",5
"278","reserve lending",5
"279","retard faggot",5
"280","roundhouse kick",5
"281","royal institute",5
"282","russian army",5
"283","russian special",5
"284","scout leaders",5
"285","slam dunk",5
"286","solid core",5
"287","south korea",5
"288","special force",5
"289","spike protein",5
"290","stone age",5
"291","thou hast",5
"292","tiny ethnic",5
"293","tiny minority",5
"294","ukraine war",5
"295","victory conditions",5
"296","video game",5
"297","western governments",5
"298","western nations",5
"299","white european",5
"300","white nationalism",5
"301","white nations",5
"302","wing christian",5
"303","women hate",5
"304","acid eat",4
"305","active combat",4
"306","active volcanoes",4
"307","african tier",4
"308","alligators slice",4
"309","american nigger",4
"310","american women",4
"311","anti semitic",4
"312","asian women",4
"313","ass billionaires",4
"314","bank account",4
"315","baron david",4
"316","bill gates",4
"317","birth rates",4
"318","black cube",4
"319","black goth",4
"320","black guy",4
"321","black metal",4
"322","bolt carrier",4
"323","boots cremate",4
"324","born poor",4
"325","bread basket",4
"326","buffer springs",4
"327","buffer tube",4
"328","business owners",4
"329","cannon fodder",4
"330","capitalism replaces",4
"331","carry handle",4
"332","carrying water",4
"333","casual sex",4
"334","chamber stomp",4
"335","chicken grease",4
"336","child mortality",4
"337","child murder",4
"338","chipper twist",4
"339","cold winter",4
"340","commits suicide",4
"341","common sense",4
"342","concrete slam",4
"343","contract equips",4
"344","country anymore",4
"345","covered hands",4
