"","word","n"
"1","stop coming",72
"2","liver failure",34
"3","jesus christ",27
"4","pic related",27
"5","baking baking",23
"6","snow white",23
"7","air track",22
"8","social media",21
"9","anti white",20
"10","white race",20
"11","foreigners faggot",19
"12","fuck foreigners",19
"13","women fuck",19
"14","blood tribe",16
"15","trans mod",15
"16","died covered",14
"17","free speech",14
"18","holy fuck",14
"19","jew lie",13
"20","white women",13
"21","world war",13
"22","christianity goy",12
"23","left wing",12
"24","modern day",12
"25","vast majority",12
"26","drug addicts",11
"27","dumb fuck",11
"28","hate jew",11
"29","lend lease",11
"30","native americans",11
"31","saint clement",11
"32","bolshevik jew",10
"33","defense minister",10
"34","fat whale",10
"35","hate white",10
"36","hero boys",10
"37","king james",10
"38","looting nigger",10
"39","mod trans",10
"40","national socialism",10
"41","pro white",10
"42","protocols elders",10
"43","anti semitic",9
"44","bare minimum",9
"45","catholic church",9
"46","mentally ill",9
"47","middle east",9
"48","roman catholic",9
"49","soviet union",9
"50","speak english",9
"51","white supremacy",9
"52","black guy",8
"53","god damn",8
"54","hebrew word",8
"55","latin vulgate",8
"56","liver transplant",8
"57","makes sense",8
"58","meat grinder",8
"59","north america",8
"60","officer jenny",8
"61","rich jew",8
"62","roman empire",8
"63","stop drinking",8
"64","voting trump",8
"65","birth control",7
"66","counter offensive",7
"67","dirty pair",7
"68","fed fed",7
"69","fellow white",7
"70","free market",7
"71","gender identity",7
"72","hate speech",7
"73","kremlin shill",7
"74","law enforcement",7
"75","life expectancy",7
"76","mental illness",7
"77","real estate",7
"78","real life",7
"79","story hour",7
"80","ukrainian refugee",7
"81","alexandrian jew",6
"82","anime girl",6
"83","anti jew",6
"84","baby died",6
"85","bad optics",6
"86","basic math",6
"87","bob barker",6
"88","cannon fodder",6
"89","controlled opposition",6
"90","daily reminder",6
"91","dies covered",6
"92","eastern ukrainian",6
"93","ethnic cleansing",6
"94","fairy tales",6
"95","fat fuck",6
"96","feel bad",6
"97","gas station",6
"98","gay rights",6
"99","germ theory",6
"100","god chose",6
"101","hard mode",6
"102","hate niggers",6
"103","health care",6
"104","jew masters",6
"105","jew media",6
"106","jimmy buffet",6
"107","justin martyr",6
"108","kidney failure",6
"109","liver cancer",6
"110","multiple times",6
"111","natural law",6
"112","north korea",6
"113","northwest territories",6
"114","orthodox church",6
"115","potentially recycle",6
"116","quiet quitting",6
"117","real nazis",6
"118","real world",6
"119","rent free",6
"120","roast beef",6
"121","ruling class",6
"122","spike protein",6
"123","steve harvey",6
"124","stone age",6
"125","trust society",6
"126","ukraine happening",6
"127","white culture",6
"128","white power",6
"129","acre camp",5
"130","anti christ",5
"131","apply basic",5
"132","bad guy",5
"133","belief system",5
"134","birth rates",5
"135","blah blah",5
"136","body leaves",5
"137","buy groceries",5
"138","central park",5
"139","child support",5
"140","clot shot",5
"141","comment section",5
"142","damage control",5
"143","dead celebrities",5
"144","dissident figure",5
"145","drag queen",5
"146","empire die",5
"147","entire country",5
"148","fag parades",5
"149","faggots sucking",5
"150","feel free",5
"151","fertility rate",5
"152","front world",5
"153","fuck niggers",5
"154","goat fuck",5
"155","god bless",5
"156","goyim goyim",5
"157","holocaust jew",5
"158","ice cream",5
"159","knock knock",5
"160","leave ash",5
"161","love jew",5
"162","magically running",5
"163","mainstream media",5
"164","major honk",5
"165","medical care",5
"166","million claim",5
"167","mind control",5
"168","muslim food",5
"169","nigger faggot",5
"170","profit incentive",5
"171","prominent features",5
"172","property rights",5
"173","red pills",5
"174","retard faggot",5
"175","retard jew",5
"176","russian forces",5
"177","russian military",5
"178","russian soldiers",5
"179","shoe box",5
"180","simon magus",5
"181","single mother",5
"182","special operation",5
"183","stop posting",5
"184","teenage looting",5
"185","tiny corner",5
"186","twitter account",5
"187","ukrainian soldiers",5
"188","ultra modern",5
"189","voluntarily opting",5
"190","wait till",5
"191","war effort",5
"192","washing machine",5
"193","weeks ago",5
"194","white boy",5
"195","white european",5
"196","white guilt",5
"197","white guy",5
"198","white white",5
"199","wing retard",5
"200","american culture",4
"201","american jew",4
"202","american niggers",4
"203","ammonia buildup",4
"204","anglican church",4
"205","attacks white",4
"206","average person",4
"207","bad faith",4
"208","bad idea",4
"209","barker jimmy",4
"210","biggest jew",4
"211","bill gates",4
"212","binge drinking",4
"213","birth rate",4
"214","bitch wait",4
"215","box set",4
"216","buck broken",4
"217","cancer blobs",4
"218","carbon dating",4
"219","carbon emissions",4
"220","casual sex",4
"221","caught lying",4
"222","china simp",4
"223","church gay",4
"224","city step",4
"225","civil war",4
"226","comfy happening",4
"227","concentration camps",4
"228","conservative women",4
"229","cool songs",4
"230","cope seethe",4
"231","copy paste",4
"232","culturally enriched",4
"233","data scientist",4
"234","dating evidence",4
"235","decades ago",4
"236","dedicated laundry",4
"237","deep inside",4
"238","defamation league",4
"239","die covered",4
"240","disgusting muslim",4
"241","diversity hires",4
"242","divorce rape",4
"243","donald trump",4
"244","draft dodgers",4
"245","dragons roamed",4
"246","dressed handsome",4
"247","drinking liters",4
"248","dudes baby",4
"249","dumb cunt",4
"250","dumb mongrel",4
"251","dumb nigger",4
"252","dutch ancestry",4
"253","economic reasons",4
"254","entire situation",4
"255","equal equipped",4
"256","fairy tale",4
"257","fake jew",4
"258","faked moon",4
"259","fellow jew",4
"260","financial support",4
"261","friendly reminder",4
"262","fuck fuck",4
"263","fuck jew",4
"264","gay pride",4
"265","glad doctors",4
"266","gleeful life",4
"267","glorious revolution",4
"268","god created",4
"269","gonna roll",4
"270","goyim defense",4
"271","goyim literal",4
"272","gravity model",4
"273","gun control",4
"274","guy dies",4
"275","guy sound",4
"276","handsome rich",4
"277","harder tomorrow",4
"278","healthy food",4
"279","hefty doses",4
"280","herman miller",4
"281","holy spirit",4
"282","horrible death",4
"283","hospice nurse",4
"284","hospice worker",4
"285","jam lab",4
"286","jew cult",4
"287","jew hate",4
"288","jew political",4
"289","jew protocols",4
"290","jew supremacy",4
"291","jew women",4
"292","john goodman",4
"293","kid died",4
"294","killed christianity",4
"295","killed dude",4
"296","labor day",4
"297","lack basic",4
"298","late faggot",4
"299","lay eggs",4
"300","literal dragons",4
"301","literal faggot",4
"302","literally ruled",4
"303","liver poison",4
"304","lives matter",4
"305","local religion",4
"306","low quality",4
"307","magnetic field",4
"308","male nurse",4
"309","masculinity would've",4
"310","means pain",4
"311","meat loaf",4
"312","media narrative",4
"313","memory loss",4
"314","menu boys",4
"315","michael jackson",4
"316","middle class",4
"317","morphine dose",4
"318","mother fuck",4
"319","mush stopping",4
"320","national socialist",4
"321","native girls",4
"322","native women",4
"323","nigger lover",4
"324","nigger loving",4
"325","offensive failed",4
"326","office worker",4
"327","ordinary person",4
"328","organ failure",4
"329","organized proofs",4
"330","original hebrew",4
"331","original owner",4
"332","original sin",4
"333","pay attention",4
"334","paying attention",4
"335","pieces steve",4
"336","pissed jew",4
"337","plant windmills",4
"338","plastic bag",4
"339","play store",4
"340","polite society",4
"341","pray god",4
"342","president trump",4
"343","pretty based",4
"344","pride parades",4
"345","pro israel",4
"346","public school",4
"347","public transit",4
"348","race war",4
"349","real capitalism",4
"350","real women",4
"351","red pill",4
"352","reminder evolution",4
"353","russian authorities",4
"354","russian federation",4
"355","russian gas",4
"356","russian orthodox",4
"357","school lunches",4
"358","sharpest tool",4
"359","single mom",4
"360","slow horrible",4
"361","space travel",4
"362","speak spanish",4
"363","speaking spanish",4
"364","stay sane",4
"365","sugar ray",4
"366","sugary drinks",4
"367","support russia",4
"368","surgical equipment",4
"369","tax dollars",4
"370","theme song",4
"371","tier office",4
"372","toxic masculinity",4
"373","trans kids",4
"374","transitional species",4
"375","troop rotation",4
"376","trump supporters",4
"377","ukraine war",4
"378","unconscious means",4
"379","video games",4
"380","virgin women",4
"381","wall street",4
"382","war crimes",4
"383","washing machines",4
"384","wearing makeup",4
"385","western civilization",4
"386","white children",4
"387","white country",4
"388","white nationalism",4
"389","white skin",4
"390","women betrayed",4
"391","wrong wrong",4
"392","abraham accords",3
"393","absolutely based",3
"394","advanced christian",3
"395","affirmative action",3
"396","african union",3
"397","air collision",3
"398","airport hit",3
"399","american nigger",3
"400","american war",3
"401","ancestors fought",3
"402","anti defamation",3
"403","ape escape",3
"404","armed forces",3
"405","arms company",3
"406","aryan savior",3
"407","attention seeking",3
"408","attention whoring",3
"409","ballot counters",3
"410","bar mitzvah",3
"411","based china",3
"412","based jew",3
"413","battalion american",3
"414","battlefield assessment",3
"415","black panther",3
"416","blue eyes",3
"417","boiling water",3
"418","brain damage",3
"419","british arms",3
"420","british girls",3
"421","broken english",3
"422","bronze age",3
"423","cad cam",3
"424","cap gimmick",3
"425","cat ears",3
"426","catch ukrainian",3
"427","catholic bible",3
"428","central banks",3
"429","century ago",3
"430","cheap labor",3
"431","cherry picked",3
"432","child slaves",3
"433","china shill",3
"434","christian marriage",3
"435","church endures",3
"436","city ballot",3
"437","climate change",3
"438","clown control",3
"439","clown world",3
"440","cold war",3
"441","college campus",3
"442","collision involving",3
"443","color revolutions",3
"444","comfy gaggle",3
"445","computer ownership",3
"446","confirmed destroyed",3
"447","controlled territory",3
"448","corporate culture",3
"449","couple days",3
"450","cultural annihilation",3
"451","cultural heritage",3
"452","daily battlefield",3
"453","damn shame",3
"454","day special",3
"455","death bed",3
"456","death cult",3
"457","decent painter",3
"458","defense league",3
"459","defense ministry",3
"460","defined morality",3
"461","demon worship",3
"462","devil fruit",3
"463","dick sucking",3
"464","draft officers",3
"465","dress code",3
"466","drink alcohol",3
"467","drone attack",3
"468","drone strikes",3
"469","drones ukraine",3
"470","drug cartels",3
"471","duma deputy",3
"472","dumb jew",3
"473","dumbest nigger",3
"474","dutch person",3
"475","eastern front",3
"476","eastern ukraine",3
"477","elected office",3
"478","english language",3
"479","english rose",3
"480","enjoy life",3
"481","entire family",3
"482","entire shiploads",3
"483","entire war",3
"484","entire world",3
"485","entry level",3
"486","equally equipped",3
"487","equipment explorer",3
"488","equipped foe",3
"489","european conquered",3
"490","evil eye",3
"491","faggot nigger",3
"492","failed actor",3
"493","false flag",3
"494","fan fiction",3
"495","fast travel",3
"496","fat ass",3
"497","fat retard",3
"498","fathom marrying",3
"499","feel feel",3
"500","feel knowing",3
"501","fellow countrymen",3
"502","filthy jew",3
"503","finland ukraine",3
"504","forbidden fruit",3
"505","forehead size",3
"506","foreign tribe",3
"507","forgot pic",3
"508","founding fathers",3
"509","francis bacon",3
"510","fuck kids",3
"511","fuck yeah",3
"512","gape odyssey",3
"513","gas oil",3
"514","gateway pundit",3
"515","gatherer bands",3
"516","gay retard",3
"517","genetic testing",3
"518","girl tom",3
"519","giving billions",3
"520","gonna kvetch",3
"521","google translate",3
"522","greek word",3
"523","grey zone",3
"524","grocery store",3
"525","half jew",3
"526","half native",3
"527","happening gene",3
"528","hate women",3
"529","hey anon",3
"530","hidden knowledge",3
"531","hive mind",3
"532","holy based",3
"533","holy ghost",3
"534","holy roman",3
"535","homo sapiens",3
"536","honk honk",3
"537","human history",3
"538","human trafficking",3
"539","hunter gatherer",3
"540","imagine thinking",3
"541","inbred jew",3
"542","indian girls",3
"543","inerrant scripture",3
"544","inerrant version",3
"545","information security",3
"546","inherently degenerate",3
"547","inspired inerrant",3
"548","israel truth",3
"549","italian children",3
"550","jared taylor",3
"551","jerome rejected",3
"552","jew banking",3
"553","jew based",3
"554","jew commie",3
"555","jew control",3
"556","jew faggots",3
"557","jew faith",3
"558","jew family",3
"559","jew fears",3
"560","jew financial",3
"561","jew literally",3
"562","jew propaganda",3
"563","jew run",3
"564","jew thrive",3
"565","jew war",3
"566","juice killed",3
"567","justice system",3
"568","keith woods",3
"569","kilometers deep",3
"570","korean war",3
"571","land ownership",3
"572","laura bush",3
"573","leader detained",3
"574","left wingers",3
"575","liberated genetic",3
"576","literal jew",3
"577","low trust",3
"578","luck finding",3
"579","maps operational",3
"580","married sex",3
"581","massive amounts",3
"582","massive surveillance",3
"583","mid air",3
"584","mid tier",3
"585","military budget",3
"586","military equipment",3
"587","million americans",3
"588","minimum wage",3
"589","modern medicine",3
"590","modern technology",3
"591","modern world",3
"592","money laundering",3
"593","mongrel fuck",3
"594","monogamous christian",3
"595","months ago",3
"596","moral compass",3
"597","mountain dew",3
"598","mouth size",3
"599","move forward",3
"600","mumble rap",3
"601","mutually exclusive",3
"602","mystery meat",3
"603","national guard",3
"604","native american",3
"605","nazi germany",3
"606","nazi unit",3
"607","negative consequences",3
"608","nigger cattle",3
"609","nigger cope",3
"610","nigger talking",3
"611","nigger tier",3
"612","niggers jew",3
"613","nightmare fuel",3
"614","normal chin",3
"615","normal forehead",3
"616","normal mouth",3
"617","normal office",3
"618","normal physiological",3
"619","north korean",3
"620","office space",3
"621","officially liberated",3
"622","oil cap",3
"623","operational sectors",3
"624","opinion discarded",3
"625","opinion piece",3
"626","original manuscripts",3
"627","pacific theatre",3
"628","pain medication",3
"629","passive income",3
"630","paternity tests",3
"631","pathetic kremlin",3
"632","patriot front",3
"633","pay taxes",3
"634","perfect actress",3
"635","pilot juice",3
"636","pilots including",3
"637","plains indian",3
"638","plane crash",3
"639","plastic surgery",3
"640","plea deal",3
"641","police force",3
"642","polish flag",3
"643","political power",3
"644","poor person",3
"645","pop culture",3
"646","power fuck",3
"647","prairie niggers",3
"648","prank videos",3
"649","pre war",3
"650","president donald",3
"651","pretty comfy",3
"652","pretty cool",3
"653","pretty funny",3
"654","pretty gay",3
"655","pride parade",3
"656","private property",3
"657","pro russia",3
"658","propaganda campaign",3
"659","prophetic dream",3
"660","providing assistance",3
"661","queen story",3
"662","range weapons",3
"663","rap prank",3
"664","real deal",3
"665","real nazi",3
"666","real war",3
"667","religious exemption",3
"668","retard cunt",3
"669","retard nigger",3
"670","revolutionary acts",3
"671","rich kids",3
"672","richard spencer",3
"673","rightful owner",3
"674","roman salute",3
"675","romanian flag",3
"676","ron paul",3
"677","russia controlled",3
