"","word","n"
"1","jesus jesus",252
"2","box happy",197
"3","canvas confetti",197
"4","coming weeks",197
"5","happy birthday",197
"6","janitor acceptance",197
"7","white women",58
"8","strange love",34
"9","social media",31
"10","nuclear war",22
"11","bitch lasagna",21
"12","makes sense",17
"13","conservative women",16
"14","fake white",16
"15","jesus christ",16
"16","pic related",16
"17","climate change",15
"18","female cops",14
"19","south africa",14
"20","free speech",13
"21","immune system",13
"22","lasagna bitch",12
"23","civil war",11
"24","god damn",11
"25","hate women",11
"26","emergency alert",10
"27","laser anon",10
"28","mentally ill",10
"29","soviet union",10
"30","video games",10
"31","white guy",10
"32","jew pederast",9
"33","middle east",9
"34","middle school",9
"35","president trump",9
"36","soldiers fighting",9
"37","taylor swift",9
"38","ukrainian soldiers",9
"39","vaccine shot",9
"40","andrew tate",8
"41","anti white",8
"42","black guy",8
"43","blood clots",8
"44","booster shot",8
"45","booster vaccine",8
"46","child abuse",8
"47","clots immune",8
"48","deaths blood",8
"49","donald trump",8
"50","dugout shelter",8
"51","fake ids",8
"52","fingertips wrote",8
"53","gay gay",8
"54","gay house",8
"55","gay window",8
"56","god bless",8
"57","heart attacks",8
"58","hindi language",8
"59","holy fuck",8
"60","indian version",8
"61","issues reproduction",8
"62","issues strokes",8
"63","law enforcement",8
"64","live inside",8
"65","modern day",8
"66","president donald",8
"67","real life",8
"68","reproduction issues",8
"69","russian propaganda",8
"70","sudden deaths",8
"71","system issues",8
"72","tinder account",8
"73","vaccine booster",8
"74","wear gay",8
"75","weeks ago",8
"76","western civilization",8
"77","white girls",8
"78","window gay",8
"79","women account",8
"80","women tinder",8
"81","world war",8
"82","asian women",7
"83","bank account",7
"84","black women",7
"85","blue eyes",7
"86","burned alive",7
"87","civil trial",7
"88","committed fraud",7
"89","destroy evil",7
"90","false flag",7
"91","green eyes",7
"92","modern world",7
"93","nuclear weapons",7
"94","ruby ridge",7
"95","stable diffusion",7
"96","white countries",7
"97","air defense",6
"98","defense express",6
"99","dumb nigger",6
"100","eastern ukraine",6
"101","false accusations",6
"102","jew fuck",6
"103","low quality",6
"104","pederast fingertips",6
"105","pipe dream",6
"106","real estate",6
"107","summary judgement",6
"108","toll paid",6
"109","vast majority",6
"110","white girl",6
"111","white race",6
"112","average person",5
"113","bad guy",5
"114","black history",5
"115","blue eyed",5
"116","boomers gen",5
"117","border security",5
"118","buy land",5
"119","cargo cult",5
"120","chess player",5
"121","clown world",5
"122","country russia",5
"123","entire country",5
"124","fast food",5
"125","feel bad",5
"126","fuck sake",5
"127","history month",5
"128","hobo life",5
"129","ice cream",5
"130","islamic terrorism",5
"131","justice system",5
"132","million dollar",5
"133","mother fuck",5
"134","murder suicide",5
"135","mystery meat",5
"136","nazi germany",5
"137","neck injection",5
"138","nigger fatigue",5
"139","overt violence",5
"140","pay attention",5
"141","pretty funny",5
