"","word","n"
"1","world trade",70
"2","trade center",60
"3","north korea",49
"4","climate change",38
"5","haven sheikh",32
"6","gay niggers",31
"7","soviet union",30
"8","white women",29
"9","stop replying",28
"10","retard gay",27
"11","niggers stop",26
"12","social media",24
"13","confederate meteorologist",21
"14","pic related",21
"15","bum bump",17
"16","civil war",15
"17","port authority",15
"18","bin laden",14
"19","holy fuck",13
"20","jew power",13
"21","mentally ill",13
"22","milady milady",13
"23","tax payer",13
"24","walkable cities",13
"25","white house",13
"26","world war",13
"27","anti white",12
"28","classical music",12
"29","free speech",12
"30","lives matter",12
"31","monkey pox",12
"32","declared war",11
"33","fight club",11
"34","national socialism",11
"35","payer money",11
"36","real life",11
"37","south korea",11
"38","wing retard",11
"39","axe wound",10
"40","eastern european",10
"41","global warming",10
"42","god bless",10
"43","jesus christ",10
"44","makes sense",10
"45","modern day",10
"46","public school",10
"47","racist answer",10
"48","russian empire",10
"49","white race",10
"50","york city",10
"51","ben garrison",9
"52","black hand",9
"53","dumb nigger",9
"54","entire world",9
"55","feel bad",9
"56","hate speech",9
"57","left wing",9
"58","mental illness",9
"59","nervous breakdown",9
"60","south america",9
"61","white guy",9
"62","white slaves",9
"63","beating women",8
"64","entire life",8
"65","feel free",8
"66","fuck jew",8
"67","god damn",8
"68","jane doe",8
"69","jew shill",8
"70","literal retard",8
"71","north america",8
"72","planes hit",8
"73","president trump",8
"74","resource extraction",8
"75","russian military",8
"76","white person",8
"77","white supremacy",8
"78","american psycho",7
"79","anti semitic",7
"80","chevy chase",7
"81","child molesters",7
"82","concentration camps",7
"83","conspiracy theorist",7
"84","conspiracy theory",7
"85","crime risk",7
"86","dark knight",7
"87","free money",7
"88","garrison based",7
"89","humiliation ritual",7
"90","jared taylor",7
"91","marching band",7
"92","market share",7
"93","middle east",7
"94","nazi germany",7
"95","nikki haley",7
"96","office space",7
"97","onions green",7
"98","pulp fiction",7
"99","reading comprehension",7
"100","reserve currency",7
"101","san francisco",7
"102","south american",7
"103","south americans",7
"104","supports russia",7
"105","vast majority",7
"106","voter turnout",7
"107","white european",7
"108","artillery shells",6
"109","bad guy",6
"110","black lives",6
"111","buck broken",6
"112","child care",6
"113","child sex",6
"114","cognitive dissonance",6
"115","comfy happening",6
"116","cope harder",6
"117","crisis actors",6
"118","death camps",6
"119","donald trump",6
"120","federal reserve",6
"121","french companies",6
"122","gas oil",6
"123","germany declared",6
"124","humiliation porn",6
"125","jew york",6
"126","male humiliation",6
"127","mass rape",6
"128","middle ages",6
"129","middle class",6
"130","money laundering",6
"131","pay attention",6
"132","plea deal",6
"133","rent free",6
"134","roy bullock",6
"135","russian propaganda",6
"136","russian sabotage",6
"137","screen shot",6
"138","sex havers",6
"139","single person",6
"140","special complaint",6
"141","sucks cock",6
"142","support russia",6
"143","twin towers",6
"144","video game",6
"145","wat ben",6
"146","western european",6
"147","white kids",6
"148","worship niggers",6
"149","actual planes",5
"150","american cars",5
"151","american history",5
"152","animal abuse",5
"153","attention seeking",5
"154","black americans",5
"155","black guy",5
"156","black sea",5
"157","bull moose",5
"158","cash payments",5
"159","cheap chinese",5
"160","christmas tree",5
"161","controlled opposition",5
"162","criminal charges",5
"163","daily reminder",5
"164","dead weight",5
"165","decades ago",5
"166","degenerate jew",5
"167","dumb fuck",5
"168","east coast",5
"169","english language",5
"170","expensive reliable",5
"171","extreme nervous",5
"172","fast food",5
"173","female genetics",5
"174","foreign aid",5
"175","foreign policy",5
"176","found guilty",5
"177","free press",5
"178","gene pool",5
"179","german soldiers",5
"180","gorilla nigger",5
"181","hate jesus",5
"182","hate jew",5
"183","human rights",5
"184","human trafficking",5
"185","industrial output",5
"186","insurance money",5
"187","jew hate",5
"188","jew rat",5
"189","jimmy fallon",5
"190","late night",5
"191","latin america",5
"192","law firm",5
"193","law firms",5
"194","lucky larry",5
"195","military aid",5
"196","nuclear reactors",5
"197","office building",5
"198","physical evidence",5
"199","polish death",5
"200","political power",5
"201","prefer cheaper",5
"202","prime minister",5
"203","race war",5
"204","red team",5
"205","russian army",5
"206","russian troops",5
"207","set foot",5
"208","sexy women",5
"209","shout outs",5
"210","solar panels",5
"211","south africa",5
"212","speak english",5
"213","spread love",5
"214","stop talking",5
"215","stupid fuck",5
"216","support freedom",5
"217","tea party",5
"218","tobacco fields",5
"219","tom cruise",5
"220","total control",5
"221","trade centers",5
"222","western countries",5
"223","white country",5
"224","white jazz",5
"225","white skin",5
"226","women love",5
"227","absolute worst",4
"228","abusing women",4
"229","african americans",4
"230","american drones",4
"231","anal sex",4
"232","ann coulter",4
"233","anti russian",4
"234","anti semite",4
"235","beta males",4
"236","billion dollar",4
"237","bitch pussy",4
"238","blacks invented",4
"239","bombed tripoli",4
"240","british empire",4
"241","brutal fashion",4
"242","bud light",4
"243","build houses",4
"244","care center",4
"245","central bank",4
"246","child abuse",4
"247","children housed",4
"248","chinese cars",4
"249","cold war",4
"250","cold weather",4
"251","competency crisis",4
"252","costa rica",4
"253","crime index",4
"254","damn jew",4
"255","deep dive",4
"256","derail discussion",4
"257","drag queen",4
"258","drinking alcohol",4
"259","dumb jew",4
"260","entire country",4
"261","entire purpose",4
"262","ethnic cleansing",4
"263","european classical",4
"264","evil white",4
"265","evolve past",4
"266","expected voters",4
"267","extraction economy",4
"268","faggot ass",4
"269","faggot jew",4
"270","false flag",4
"271","family tree",4
"272","fellow white",4
"273","fish storm",4
"274","food supply",4
"275","fuck timmy",4
"276","fuck toothpaste",4
"277","gay lover",4
"278","gay sex",4
"279","gigantic pussy",4
"280","green text",4
"281","hair transplant",4
"282","half pound",4
"283","half white",4
"284","hands typed",4
"285","happen tot",4
"286","harry potter",4
"287","hate conservatives",4
"288","hate crime",4
"289","hate niggers",4
"290","hated trump",4
"291","hates conservatives",4
"292","heavy rainfall",4
"293","highly doubt",4
"294","homo sapiens",4
"295","horror stories",4
"296","housing crisis",4
"297","human history",4
"298","human jobs",4
"299","hunger plan",4
"300","hydraulic warfare",4
"301","illegal immigration",4
"302","impotent rage",4
"303","industry shill",4
"304","invaded germany",4
"305","islamic justice",4
"306","isolated schizoid",4
"307","italian companies",4
"308","jefferson bombed",4
"309","jew david",4
"310","jew died",4
"311","jew faggot",4
"312","jew fuck",4
"313","jew israel",4
"314","jew masters",4
"315","jew mind",4
"316","kid fuck",4
"317","leaf clover",4
"318","liberty safes",4
"319","light sweet",4
"320","literally stuck",4
"321","love beating",4
"322","low level",4
"323","low quality",4
"324","maar hard",4
"325","maar het",4
"326","maar weer",4
"327","marketing strategy",4
"328","mass immigration",4
"329","meat industry",4
"330","memory holed",4
"331","mind swill",4
"332","modern humans",4
"333","musical talent",4
"334","national median",4
"335","national socialist",4
"336","nigger music",4
"337","nigger sports",4
"338","niggers blacks",4
"339","north bay",4
"340","occult divination",4
"341","organ fuck",4
"342","organ meat",4
"343","past decade",4
"344","patriot act",4
"345","pic unrelated",4
"346","plane hit",4
"347","planes hitting",4
"348","playing field",4
"349","plot twist",4
"350","polish war",4
"351","processed food",4
"352","programing putting",4
"353","prop buildings",4
"354","public opinion",4
"355","public transport",4
"356","race mixing",4
"357","real quick",4
"358","real women",4
"359","red army",4
"360","red colours",4
"361","related pics",4
"362","russian companies",4
"363","russian company",4
"364","russian law",4
"365","russians loved",4
"366","scorched earth",4
"367","secret military",4
"368","semen retention",4
"369","skinny fat",4
"370","smoke crack",4
"371","smoking weed",4
"372","social security",4
"373","sodomy programing",4
"374","sour grapes",4
"375","southeast asia",4
"376","star wars",4
"377","stephen king",4
"378","stopped posting",4
"379","storage organ",4
"380","subhuman acted",4
"381","surviving human",4
"382","sweet crude",4
"383","taking cash",4
"384","taxi driver",4
"385","taxpayer money",4
"386","thomas jefferson",4
"387","toe die",4
"388","toilet paper",4
"389","trade routes",4
"390","tree austria",4
"391","trump jew",4
"392","ukraine happening",4
"393","ultra processed",4
"394","united nations",4
"395","van het",4
"396","vote harder",4
"397","vote total",4
"398","vote totals",4
"399","war effort",4
"400","watch mad",4
"401","welfare recipients",4
"402","west african",4
"403","white agenda",4
"404","white blue",4
"405","white boy",4
"406","white countries",4
"407","wing politics",4
"408","women porn",4
"409","world population",4
"410","world wars",4
"411","writing names",4
"412","active duty",3
"413","actual retard",3
"414","adolescent males",3
"415","africa blacks",3
"416","africa south",3
"417","african population",3
"418","allowed blacks",3
"419","america means",3
"420","american pie",3
"421","american women",3
"422","anime porn",3
"423","anne frank",3
"424","anti racism",3
"425","anti trafficking",3
"426","antiwar protests",3
"427","armed robbery",3
"428","artillery rounds",3
"429","ass blasted",3
"430","attacking white",3
"431","austria hungary",3
"432","autobuses destroyed",3
"433","ball busting",3
"434","band music",3
"435","bank account",3
"436","bank accounts",3
"437","barry lyndon",3
"438","batman movie",3
"439","beer drinking",3
"440","biggest polluter",3
"441","biological female",3
"442","black american",3
"443","black half",3
"444","black jazz",3
"445","black population",3
"446","black slaves",3
"447","blacks stomp",3
"448","blacks supported",3
"449","blacks vanished",3
"450","blow jobs",3
"451","blue collar",3
"452","blue eyed",3
"453","body count",3
"454","brain dead",3
"455","brain grower",3
"456","british companies",3
"457","british cope",3
"458","broken english",3
"459","buck breaking",3
"460","buffer zone",3
"461","bullshit war",3
"462","buy american",3
"463","call centers",3
"464","cannon fodder",3
"465","car drove",3
"466","catholic church",3
"467","caused climate",3
"468","cheap labour",3
"469","child labor",3
"470","child support",3
"471","chinese drones",3
"472","chinese trains",3
"473","chocolate rain",3
"474","christian seethe",3
"475","civil rights",3
"476","climate alarmists",3
"477","closed format",3
"478","clown world",3
"479","coca cola",3
"480","collins piper",3
"481","colonial powers",3
"482","combat mommy",3
"483","complete bullshit",3
"484","congenital syphilis",3
"485","considered disabled",3
"486","conspiracy theories",3
"487","construction sites",3
"488","consulate employee",3
"489","cool story",3
"490","corn syrup",3
"491","corona pandemic",3
"492","cosmetic surgeons",3
"493","countries combined",3
"494","countries including",3
"495","country music",3
"496","crazy conspiracy",3
"497","crazy inflation",3
"498","cricket coach",3
"499","cross dressing",3
"500","crypto jew",3
"501","damage control",3
"502","david duke",3
"503","days ago",3
"504","death sentence",3
"505","decent amount",3
"506","declare war",3
"507","declares war",3
"508","defense ministry",3
"509","dense walkable",3
"510","deputy secretary",3
"511","din israel",3
"512","diplomats hope",3
"513","disability rating",3
"514","disease control",3
"515","displaced american",3
"516","drug addict",3
"517","east india",3
"518","eastern front",3
"519","eat dogs",3
"520","eating grass",3
"521","effective treatment",3
"522","electric cars",3
"523","eliminate russia",3
"524","elite brigade",3
"525","ellis island",3
"526","empirical evidence",3
"527","employee arrested",3
"528","energy crisis",3
"529","entry level",3
"530","equestrian pants",3
"531","estrogen supplements",3
"532","evolved past",3
"533","eye witness",3
"534","facial recognition",3
"535","fairy tale",3
"536","fake ass",3
"537","fake shill",3
"538","fat ugly",3
"539","fiat currency",3
"540","flash floods",3
"541","flat earth",3
"542","fly actual",3
"543","foreign country",3
"544","foreign interference",3
"545","fossil fuel",3
"546","france happen",3
"547","free world",3
"548","front line",3
"549","fuck niggers",3
"550","fuck ton",3
"551","future world",3
"552","gab moves",3
"553","game footage",3
"554","gaping wound",3
"555","gay faggot",3
"556","gender reassignment",3
"557","german companies",3
"558","german women",3
"559","germans kill",3
"560","germany invaded",3
"561","girl boss",3
"562","god damned",3
"563","gonna happen",3
"564","grab food",3
"565","greenhouse gases",3
"566","guinea pigs",3
"567","gym goers",3
"568","gym membership",3
"569","half black",3
"570","happening spain",3
"571","hard times",3
"572","hard truth",3
"573","health grounds",3
"574","health insurance",3
"575","healthy body",3
"576","heart attack",3
"577","heavy losses",3
"578","hey anon",3
"579","history books",3
"580","hold dear",3
"581","honorary aryan",3
"582","hope horizon",3
"583","horizon deal",3
"584","hornets nest",3
"585","housed inside",3
"586","human activity",3
"587","human caused",3
"588","human climate",3
"589","hurt locker",3
"590","ice age",3
"591","illegal immigrants",3
