"","word","n"
"1","central bank",45
"2","computer science",33
"3","doctor lass",30
"4","bill burr",27
"5","jesus christ",25
"6","black women",22
"7","middle east",21
"8","central banks",20
"9","civil war",20
"10","anti white",17
"11","armed forces",16
"12","gene pool",16
"13","spike protein",16
"14","flat earth",15
"15","jew death",15
"16","pic related",15
"17","total jew",15
"18","air force",14
"19","mentally ill",14
"20","theo von",14
"21","excess deaths",13
"22","south america",13
"23","supreme court",13
"24","feed seed",12
"25","george floyd",12
"26","makes sense",12
"27","white women",12
"28","census data",11
"29","controlled opposition",11
"30","entry level",11
"31","hate threads",11
"32","social media",11
"33","white race",11
"34","burr hate",10
"35","comfy happening",10
"36","fuck jew",10
"37","hate white",10
"38","heart attacks",10
"39","holy fuck",10
"40","left wing",10
"41","red pill",10
"42","anti christ",9
"43","entire generation",9
"44","entire world",9
"45","feel bad",9
"46","god jesus",9
"47","hate jew",9
"48","middle class",9
"49","political prisoner",9
"50","real life",9
"51","scottish rite",9
"52","social security",9
"53","star trek",9
"54","ancestral homeland",8
"55","anti semitic",8
"56","bill gates",8
"57","blonde blue",8
"58","blonde haired",8
"59","federal reserve",8
"60","free speech",8
"61","immune system",8
"62","internal migration",8
"63","italian women",8
"64","latin america",8
"65","meat grinder",8
"66","move lists",8
"67","multiple times",8
"68","sand niggers",8
"69","socialist worker",8
"70","white countries",8
"71","white country",8
"72","zion don",8
"73","angelina jolie",7
"74","anti jew",7
"75","black lives",7
"76","blonde hair",7
"77","blue eyes",7
"78","clown world",7
"79","die faster",7
"80","excess mortality",7
"81","fornicating skills",7
"82","god bless",7
"83","hear voices",7
"84","petty crime",7
"85","president trump",7
"86","pro israel",7
"87","red flag",7
"88","snow white",7
"89","spike proteins",7
"90","stop posting",7
"91","stop shitting",7
"92","white civilization",7
"93","white guy",7
"94","white kids",7
"95","world cup",7
"96","anti christian",6
"97","anti palestinian",6
"98","birth rate",6
"99","blue eyed",6
"100","chug comfy",6
"101","civil rights",6
"102","climate change",6
"103","credit union",6
"104","daily basis",6
"105","defense forces",6
"106","ethnic cleansing",6
"107","ethnic intimidation",6
"108","fighting games",6
"109","foreign kids",6
"110","gay cauldron",6
"111","heart attack",6
"112","jew hate",6
"113","jew media",6
"114","jew paper",6
"115","jew system",6
"116","john wick",6
"117","key resources",6
"118","lives matter",6
"119","master mason",6
"120","master race",6
"121","modern day",6
"122","monetary system",6
"123","national socialism",6
"124","north korea",6
"125","palestinian attack",6
"126","paying attention",6
"127","picture book",6
"128","real motives",6
"129","real world",6
"130","retard nigger",6
"131","rich jew",6
"132","russian armed",6
"133","russian army",6
"134","saint peter",6
"135","single person",6
"136","sophist talking",6
"137","stop talking",6
"138","supply chain",6
"139","support israel",6
"140","tax dollars",6
"141","total mutt",6
"142","underground positions",6
"143","vast majority",6
"144","world country",6
"145","world war",6
"146","american psycho",5
"147","bad idea",5
"148","black guy",5
"149","blah blah",5
"150","box office",5
"151","child support",5
"152","clown age",5
"153","computer engineering",5
"154","credit cards",5
"155","culturally enrich",5
"156","cyber security",5
"157","daily reminder",5
"158","dating system",5
"159","days ago",5
"160","entire country",5
"161","faggot jew",5
"162","fake tits",5
"163","false flagging",5
"164","fiat currency",5
"165","fighters calling",5
"166","fix greece",5
"167","fuck niggers",5
"168","israel jew",5
"169","jew handlers",5
"170","jew lies",5
"171","lack fornicating",5
"172","literal jew",5
"173","love life",5
"174","loves israel",5
"175","marvel movie",5
"176","mental illness",5
"177","million jew",5
"178","mixed race",5
"179","mommy milkers",5
"180","money laundering",5
"181","months ago",5
"182","national bank",5
"183","national socialist",5
"184","nigger lover",5
"185","police car",5
"186","political implications",5
"187","pro jew",5
"188","pyramid scheme",5
"189","real reason",5
"190","runny nose",5
"191","single day",5
"192","socialist party",5
"193","space age",5
"194","strong evidence",5
"195","theatrical release",5
"196","video game",5
"197","voices claiming",5
"198","wall street",5
"199","weeks ago",5
"200","white house",5
"201","world countries",5
"202","actors representing",4
"203","air raid",4
"204","alleged embezzlement",4
"205","american banking",4
"206","american government",4
"207","american jew",4
"208","american women",4
"209","american youth",4
"210","americans returning",4
"211","ancient greece",4
"212","anti semite",4
"213","anti ship",4
"214","argentina ditches",4
"215","argentina flag",4
"216","argentine peso",4
"217","army ahead",4
"218","awards ceremony",4
"219","ball earth",4
"220","banking loans",4
"221","based department",4
"222","based economy",4
"223","based russia",4
"224","basket weaving",4
"225","beaker phenomena",4
"226","bell beaker",4
"227","bin laden",4
"228","black rock",4
"229","black sea",4
"230","button combos",4
"231","called argentine",4
"232","called feed",4
"233","called shedding",4
"234","causing petty",4
"235","cell phone",4
"236","chain breakdown",4
