"","word","n"
"1","coming weeks",196
"2","janitor acceptance",196
"3","white women",46
"4","middle east",42
"5","south park",36
"6","asian women",30
"7","pro israel",23
"8","pic related",20
"9","paid shill",19
"10","women love",19
"11","ban pornography",18
"12","soup nazi",18
"13","civil war",17
"14","israel threads",17
"15","western countries",17
"16","bigger niger",16
"17","bud light",16
"18","concentration camp",16
"19","feminist related",16
"20","love bigger",16
"21","niger cock",16
"22","related threads",16
"23","shill losers",16
"24","spread rumors",16
"25","cock asian",15
"26","jew lies",14
"27","socialist worker",14
"28","stable diffusion",14
"29","jesus christ",13
"30","fast food",12
"31","red barron",12
"32","refugee camp",12
"33","human rights",11
"34","inside job",11
"35","communist jew",10
"36","sand niggers",10
"37","white house",10
"38","world war",10
"39","beheading video",9
"40","foreign women",9
"41","giving money",9
"42","jew death",9
"43","leftist tendencies",9
"44","million jew",9
"45","prime minister",9
"46","real world",9
"47","recent events",9
"48","social media",9
"49","white kids",9
"50","white male",9
"51","white males",9
"52","winston churchill",9
"53","apollo affair",8
"54","article titled",8
"55","bad communist",8
"56","century history",8
"57","churchill wrote",8
"58","colonial satellite",8
"59","contra scandal",8
"60","directive kills",8
"61","dual citizens",8
"62","fair trials",8
"63","filthy jew",8
"64","flat earth",8
"65","fuck jew",8
"66","gain power",8
"67","hannibal directive",8
"68","hate jew",8
"69","hussein correspondence",8
"70","hussein gain",8
"71","influence pakistan",8
"72","intelligence agencies",8
"73","iran contra",8
"74","iran war",8
"75","iraq iran",8
"76","israel intelligence",8
"77","israel troops",8
"78","judicial system",8
"79","kills civilians",8
"80","manufacture consent",8
"81","mental illness",8
"82","obvious bullshit",8
"83","operation cyclone",8
"84","pakistan courtesy",8
"85","propaganda article",8
"86","sage jew",8
"87","sold weapons",8
"88","total jew",8
"89","urban warfare",8
"90","vast majority",8
"91","weapons bunker",8
"92","anti semitic",7
"93","anti white",7
"94","atrocity propaganda",7
"95","black women",7
"96","freak accident",7
"97","fuck niggers",7
"98","jew cock",7
"99","jew control",7
"100","late term",7
"101","left wing",7
"102","makes sense",7
"103","middle eastern",7
"104","modern day",7
"105","orthodox jew",7
"106","political party",7
"107","race mixing",7
"108","righteous jew",7
"109","screen shot",7
"110","soviet union",7
"111","tender women",7
"112","term abortion",7
"113","waste money",7
"114","white race",7
"115","adult teeth",6
"116","alpha chad",6
"117","anti social",6
"118","beta bucks",6
"119","black lives",6
"120","blasting music",6
"121","body armor",6
"122","christian values",6
"123","days ago",6
"124","dead jew",6
"125","expensive watches",6
"126","experiment failed",6
"127","fitness tracker",6
"128","game development",6
"129","gonna start",6
"130","green text",6
"131","gun control",6
"132","half jew",6
"133","happy halloween",6
"134","hate white",6
"135","immigration laws",6
"136","jew babies",6
"137","jew rat",6
"138","lives matter",6
"139","low quality",6
"140","mass immigration",6
"141","milk toast",6
"142","moral authority",6
"143","native tribal",6
"144","police chase",6
"145","public transport",6
"146","quartz watches",6
"147","real jew",6
"148","real life",6
"149","reminder israel",6
"150","rumors spread",6
"151","sand nigger",6
"152","speed chase",6
"153","ukraine war",6
"154","video game",6
"155","votes democrat",6
"156","western civilization",6
"157","white person",6
"158","william luther",6
"159","air force",5
"160","american blacks",5
"161","american hostages",5
"162","beloved nigger",5
"163","black powder",5
"164","catholic church",5
"165","census data",5
"166","climate change",5
"167","controlled opposition",5
"168","death penalty",5
"169","dental bridge",5
"170","donald trump",5
"171","dual citizenship",5
"172","duel citizens",5
"173","dumb fuck",5
"174","evangelical christian",5
"175","fairy tales",5
"176","fashioned conservatism",5
"177","gay jew",5
"178","ground invasion",5
"179","heart attack",5
"180","israel helps",5
"181","jew dead",5
"182","jew hate",5
"183","jew media",5
"184","jew population",5
"185","jew run",5
"186","laws stricter",5
"187","material world",5
"188","mental capacity",5
"189","mentally ill",5
"190","middle class",5
"191","minimum wage",5
"192","nigger worship",5
"193","noise video",5
"194","nuclear weapons",5
"195","pretty accurate",5
"196","san pablo",5
"197","saudi arabia",5
"198","silicon valley",5
"199","single day",5
"200","south america",5
"201","stop replacing",5
"202","support israel",5
"203","support jew",5
"204","tax dollars",5
"205","trick treat",5
"206","video evidence",5
"207","video games",5
"208","virgin mary",5
"209","wee woo",5
"210","weeks ago",5
"211","white countries",5
"212","white fuck",5
"213","white guy",5
"214","white supremacy",5
"215","white wife",5
"216","winter war",5
"217","women hate",5
"218","worship niggers",5
"219","ambushes israel",4
"220","american women",4
"221","americans held",4
"222","americans jew",4
"223","anne frank",4
"224","artificial scarcity",4
"225","artificial wombs",4
"226","assert dominance",4
"227","asserting dominance",4
"228","assumed future",4
"229","average person",4
"230","awesome sight",4
"231","blah blah",4
"232","body fat",4
"233","body odor",4
"234","bomb bomb",4
"235","british mother",4
"236","bucket monkey",4
"237","cheap fitness",4
"238","christian country",4
"239","christian culture",4
"240","cities skylines",4
"241","coca cola",4
"242","coke plant",4
"243","comfy happening",4
"244","cooler heads",4
"245","correct answer",4
"246","cost literally",4
"247","countless murders",4
"248","daily reminder",4
"249","daily wear",4
"250","david weber",4
"251","death cult",4
"252","development unlike",4
"253","dirt cheap",4
"254","disgusting vile",4
"255","diversity hire",4
"256","divorce rates",4
"257","drug addicts",4
"258","empty bowl",4
"259","entire nation",4
"260","entire race",4
"261","evil jew",4
"262","expand explode",4
"263","expensive watch",4
"264","feel bad",4
"265","foxy net",4
"266","free access",4
"267","free medical",4
"268","freedom fighters",4
"269","fuck care",4
"270","furry cons",4
"271","future productivity",4
"272","games industry",4
"273","ghost guns",4
"274","girls love",4
"275","god bless",4
"276","god damn",4
"277","gonna run",4
"278","gospel truth",4
"279","gun laws",4
"280","guns guy",4
"281","hate women",4
"282","heavy executive",4
"283","history click",4
"284","hockey players",4
"285","holy fuck",4
"286","holy land",4
"287","homo sapiens",4
"288","house admitted",4
"289","human history",4
"290","idiot box",4
"291","innocent civilians",4
"292","intended audience",4
"293","iraq war",4
"294","israel literally",4
"295","israel reminder",4
"296","james mason",4
"297","jew captured",4
"298","jew masters",4
"299","jew organizations",4
"300","jew shill",4
"301","jew threads",4
"302","latin alphabet",4
"303","literally thousands",4
"304","live president",4
"305","loud noises",4
"306","loved jacob",4
"307","luther pierce",4
"308","male population",4
"309","map formats",4
"310","married jew",4
"311","mechanical watches",4
"312","military draft",4
"313","million americans",4
"314","million syrians",4
"315","modern world",4
"316","mother compared",4
"317","murders islam",4
"318","music aloud",4
"319","nice watch",4
"320","nigger larvae",4
"321","normal women",4
"322","passer bys",4
"323","performance data",4
"324","pilot watches",4
"325","polite society",4
"326","population increased",4
"327","president donald",4
"328","president trump",4
"329","pretty awesome",4
"330","pro abortion",4
"331","pro fag",4
"332","professional spaniard",4
"333","profile history",4
"334","program unlike",4
"335","public transportation",4
"336","racist british",4
"337","rap music",4
"338","rape threats",4
"339","rarest pepe",4
"340","rat race",4
"341","real women",4
"342","recent footage",4
"343","remove kebab",4
"344","retard jew",4
"345","rich person",4
"346","russian forces",4
"347","sales due",4
"348","service performance",4
"349","sexual competition",4
"350","single mothers",4
"351","single shot",4
"352","social construct",4
"353","social policies",4
"354","social trust",4
"355","software development",4
"356","star sector",4
"357","stay safe",4
"358","stop eating",4
"359","stopped gaming",4
"360","stupid nigger",4
"361","supporting israel",4
"362","taylor swift",4
"363","theo von",4
"364","total nigger",4
"365","totally organic",4
"366","tribal dance",4
"367","ultra orthodox",4
"368","unintentionally racist",4
"369","vile anti",4
"370","wait till",4
"371","war crime",4
"372","war crimes",4
"373","watch batteries",4
"374","watching friends",4
"375","wear headphones",4
"376","western european",4
"377","western iron",4
"378","western world",4
"379","white nationalist",4
"380","white neighborhood",4
"381","women barks",4
"382","women sighed",4
"383","worship jew",4
"384","accept jesus",3
"385","accept reality",3
"386","actual evidence",3
"387","affirmative action",3
"388","america won",3
"389","american boomers",3
